time,week,day,date,home,home_xg,score,away_xg,away,attendance,venue,referee,home_link,away_link,match_link,report_link
12:30 (19:30),1,Sat,2016-08-13,Hull City,2–1,Leicester City,"21,037",Kingston Communications Stadium,Mike Dean,Match Report,,https://fbref.com/en/squads/bd8769d1/2016-2017/Hull-City-Stats,https://fbref.com/en/squads/a2d435b3/2016-2017/Leicester-City-Stats,https://fbref.com/en/matches/78c3fc92/Hull-City-Leicester-City-August-13-2016-Premier-League,https://fbref.com/en/matches/78c3fc92/Hull-City-Leicester-City-August-13-2016-Premier-League
15:00 (22:00),1,Sat,2016-08-13,Everton,1–1,Tottenham,"39,494",Goodison Park,Martin Atkinson,Match Report,,https://fbref.com/en/squads/d3fd31cc/2016-2017/Everton-Stats,https://fbref.com/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats,https://fbref.com/en/matches/fa337038/Everton-Tottenham-Hotspur-August-13-2016-Premier-League,https://fbref.com/en/matches/fa337038/Everton-Tottenham-Hotspur-August-13-2016-Premier-League
15:00 (22:00),1,Sat,2016-08-13,Burnley,0–1,Swansea City,"19,126",Turf Moor,Jonathan Moss,Match Report,,https://fbref.com/en/squads/943e8050/2016-2017/Burnley-Stats,https://fbref.com/en/squads/fb10988f/2016-2017/Swansea-City-Stats,https://fbref.com/en/matches/09bf9607/Burnley-Swansea-City-August-13-2016-Premier-League,https://fbref.com/en/matches/09bf9607/Burnley-Swansea-City-August-13-2016-Premier-League
15:00 (22:00),1,Sat,2016-08-13,Crystal Palace,0–1,West Brom,"24,490",Selhurst Park,Craig Pawson,Match Report,,https://fbref.com/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats,https://fbref.com/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats,https://fbref.com/en/matches/71e8ff6e/Crystal-Palace-West-Bromwich-Albion-August-13-2016-Premier-League,https://fbref.com/en/matches/71e8ff6e/Crystal-Palace-West-Bromwich-Albion-August-13-2016-Premier-League
15:00 (22:00),1,Sat,2016-08-13,Southampton,1–1,Watford,"31,488",St. Mary's Stadium,Roger East,Match Report,,https://fbref.com/en/squads/33c895d4/2016-2017/Southampton-Stats,https://fbref.com/en/squads/2abfe087/2016-2017/Watford-Stats,https://fbref.com/en/matches/56319719/Southampton-Watford-August-13-2016-Premier-League,https://fbref.com/en/matches/56319719/Southampton-Watford-August-13-2016-Premier-League
15:00 (22:00),1,Sat,2016-08-13,Middlesbrough,1–1,Stoke City,"32,110",Riverside Stadium,Kevin Friend,Match Report,,https://fbref.com/en/squads/7f59c601/2016-2017/Middlesbrough-Stats,https://fbref.com/en/squads/17892952/2016-2017/Stoke-City-Stats,https://fbref.com/en/matches/a80443d6/Middlesbrough-Stoke-City-August-13-2016-Premier-League,https://fbref.com/en/matches/a80443d6/Middlesbrough-Stoke-City-August-13-2016-Premier-League
17:30 (00:30),1,Sat,2016-08-13,Manchester City,2–1,Sunderland,"54,362",Etihad Stadium,Robert Madley,Match Report,,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats,https://fbref.com/en/squads/8ef52968/2016-2017/Sunderland-Stats,https://fbref.com/en/matches/69572f77/Manchester-City-Sunderland-August-13-2016-Premier-League,https://fbref.com/en/matches/69572f77/Manchester-City-Sunderland-August-13-2016-Premier-League
13:30 (20:30),1,Sun,2016-08-14,Bournemouth,1–3,Manchester Utd,"11,355",Vitality Stadium,Andre Marriner,Match Report,,https://fbref.com/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats,https://fbref.com/en/squads/19538871/2016-2017/Manchester-United-Stats,https://fbref.com/en/matches/5e0de35a/Bournemouth-Manchester-United-August-14-2016-Premier-League,https://fbref.com/en/matches/5e0de35a/Bournemouth-Manchester-United-August-14-2016-Premier-League
16:00 (23:00),1,Sun,2016-08-14,Arsenal,3–4,Liverpool,"60,033",Emirates Stadium,Michael Oliver,Match Report,,https://fbref.com/en/squads/18bb7c10/2016-2017/Arsenal-Stats,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats,https://fbref.com/en/matches/0e815975/Arsenal-Liverpool-August-14-2016-Premier-League,https://fbref.com/en/matches/0e815975/Arsenal-Liverpool-August-14-2016-Premier-League
20:00 (03:00),1,Mon,2016-08-15,Chelsea,2–1,West Ham,"41,521",Stamford Bridge,Anthony Taylor,Match Report,,https://fbref.com/en/squads/cff3d9bb/2016-2017/Chelsea-Stats,https://fbref.com/en/squads/7c21e445/2016-2017/West-Ham-United-Stats,https://fbref.com/en/matches/d2f7199a/Chelsea-West-Ham-United-August-15-2016-Premier-League,https://fbref.com/en/matches/d2f7199a/Chelsea-West-Ham-United-August-15-2016-Premier-League
20:00 (03:00),2,Fri,2016-08-19,Manchester Utd,2–0,Southampton,"75,326",Old Trafford,Anthony Taylor,Match Report,,https://fbref.com/en/squads/19538871/2016-2017/Manchester-United-Stats,https://fbref.com/en/squads/33c895d4/2016-2017/Southampton-Stats,https://fbref.com/en/matches/f85bb62d/Manchester-United-Southampton-August-19-2016-Premier-League,https://fbref.com/en/matches/f85bb62d/Manchester-United-Southampton-August-19-2016-Premier-League
12:30 (19:30),2,Sat,2016-08-20,Stoke City,1–4,Manchester City,"27,455",Bet365 Stadium,Mike Dean,Match Report,,https://fbref.com/en/squads/17892952/2016-2017/Stoke-City-Stats,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats,https://fbref.com/en/matches/35ebe0a7/Stoke-City-Manchester-City-August-20-2016-Premier-League,https://fbref.com/en/matches/35ebe0a7/Stoke-City-Manchester-City-August-20-2016-Premier-League
15:00 (22:00),2,Sat,2016-08-20,Tottenham,1–0,Crystal Palace,"31,447",White Hart Lane,Michael Oliver,Match Report,,https://fbref.com/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats,https://fbref.com/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats,https://fbref.com/en/matches/be3e02db/Tottenham-Hotspur-Crystal-Palace-August-20-2016-Premier-League,https://fbref.com/en/matches/be3e02db/Tottenham-Hotspur-Crystal-Palace-August-20-2016-Premier-League
