week,day,date,time,home,home_xg,score,away_xg,away,attendance,venue,referee,match_report,home_link,away_link,match_link,report_link
1,Fri,2017-08-11,19:45 (02:45),Arsenal,2.3,4–3,1.3,Leicester City,"59,387",Emirates Stadium,Mike Dean,Match Report,https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats,https://fbref.com/en/squads/a2d435b3/2017-2018/Leicester-City-Stats,https://fbref.com/en/matches/e3c3ddf0/Arsenal-Leicester-City-August-11-2017-Premier-League,https://fbref.com/en/matches/e3c3ddf0/Arsenal-Leicester-City-August-11-2017-Premier-League
1,Sat,2017-08-12,12:30 (19:30),Watford,2.1,3–3,3.1,Liverpool,"20,407",Vicarage Road Stadium,Anthony Taylor,Match Report,https://fbref.com/en/squads/2abfe087/2017-2018/Watford-Stats,https://fbref.com/en/squads/822bd0ba/2017-2018/Liverpool-Stats,https://fbref.com/en/matches/60f6cc1d/Watford-Liverpool-August-12-2017-Premier-League,https://fbref.com/en/matches/60f6cc1d/Watford-Liverpool-August-12-2017-Premier-League
1,Sat,2017-08-12,15:00 (22:00),West Brom,1.2,1–0,0.4,Bournemouth,"25,011",The Hawthorns,Robert Madley,Match Report,https://fbref.com/en/squads/60c6b05f/2017-2018/West-Bromwich-Albion-Stats,https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats,https://fbref.com/en/matches/684f704a/West-Bromwich-Albion-Bournemouth-August-12-2017-Premier-League,https://fbref.com/en/matches/684f704a/West-Bromwich-Albion-Bournemouth-August-12-2017-Premier-League
1,Sat,2017-08-12,15:00 (22:00),Everton,0.5,1–0,0.3,Stoke City,"39,045",Goodison Park,Niel Swarbrick,Match Report,https://fbref.com/en/squads/d3fd31cc/2017-2018/Everton-Stats,https://fbref.com/en/squads/17892952/2017-2018/Stoke-City-Stats,https://fbref.com/en/matches/7c834541/Everton-Stoke-City-August-12-2017-Premier-League,https://fbref.com/en/matches/7c834541/Everton-Stoke-City-August-12-2017-Premier-League
1,Sat,2017-08-12,15:00 (22:00),Southampton,2.1,0–0,0.5,Swansea City,"31,447",St. Mary's Stadium,Mike Jones,Match Report,https://fbref.com/en/squads/33c895d4/2017-2018/Southampton-Stats,https://fbref.com/en/squads/fb10988f/2017-2018/Swansea-City-Stats,https://fbref.com/en/matches/e782371e/Southampton-Swansea-City-August-12-2017-Premier-League,https://fbref.com/en/matches/e782371e/Southampton-Swansea-City-August-12-2017-Premier-League
1,Sat,2017-08-12,15:00 (22:00),Chelsea,1.3,2–3,0.8,Burnley,"41,616",Stamford Bridge,Craig Pawson,Match Report,https://fbref.com/en/squads/cff3d9bb/2017-2018/Chelsea-Stats,https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats,https://fbref.com/en/matches/71b00bca/Chelsea-Burnley-August-12-2017-Premier-League,https://fbref.com/en/matches/71b00bca/Chelsea-Burnley-August-12-2017-Premier-League
1,Sat,2017-08-12,15:00 (22:00),Crystal Palace,1.1,0–3,1.7,Huddersfield,"25,448",Selhurst Park,Jonathan Moss,Match Report,https://fbref.com/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats,https://fbref.com/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats,https://fbref.com/en/matches/2d369d17/Crystal-Palace-Huddersfield-Town-August-12-2017-Premier-League,https://fbref.com/en/matches/2d369d17/Crystal-Palace-Huddersfield-Town-August-12-2017-Premier-League
1,Sat,2017-08-12,17:30 (00:30),Brighton,0.3,0–2,1.8,Manchester City,"30,415",The American Express Community Stadium,Michael Oliver,Match Report,https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats,https://fbref.com/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats,https://fbref.com/en/matches/072bfc99/Brighton-and-Hove-Albion-Manchester-City-August-12-2017-Premier-League,https://fbref.com/en/matches/072bfc99/Brighton-and-Hove-Albion-Manchester-City-August-12-2017-Premier-League
1,Sun,2017-08-13,13:30 (20:30),Newcastle Utd,0.6,0–2,1.9,Tottenham,"52,077",St. James' Park,Andre Marriner,Match Report,https://fbref.com/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats,https://fbref.com/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats,https://fbref.com/en/matches/d8a995d7/Newcastle-United-Tottenham-Hotspur-August-13-2017-Premier-League,https://fbref.com/en/matches/d8a995d7/Newcastle-United-Tottenham-Hotspur-August-13-2017-Premier-League
1,Sun,2017-08-13,16:00 (23:00),Manchester Utd,2.1,4–0,0.6,West Ham,"74,928",Old Trafford,Martin Atkinson,Match Report,https://fbref.com/en/squads/19538871/2017-2018/Manchester-United-Stats,https://fbref.com/en/squads/7c21e445/2017-2018/West-Ham-United-Stats,https://fbref.com/en/matches/f5d1f6f4/Manchester-United-West-Ham-United-August-13-2017-Premier-League,https://fbref.com/en/matches/f5d1f6f4/Manchester-United-West-Ham-United-August-13-2017-Premier-League
