league,week,day,date,time,home,home_xg,score,away_xg,away,attendance,venue,referee,match_report,home_link,away_link,match_link,report_link
EPL,1,Fri,2018-08-10,20:00 (03:00),Manchester Utd,1.7,2–1,1.0,Leicester City,"74,439",Old Trafford,Andre Marriner,Match Report,https://fbref.com/en/squads/19538871/2018-2019/Manchester-United-Stats,https://fbref.com/en/squads/a2d435b3/2018-2019/Leicester-City-Stats,https://fbref.com/en/matches/3ae83896/Manchester-United-Leicester-City-August-10-2018-Premier-League,https://fbref.com/en/matches/3ae83896/Manchester-United-Leicester-City-August-10-2018-Premier-League
EPL,1,Sat,2018-08-11,12:30 (19:30),Newcastle Utd,0.9,1–2,2.0,Tottenham,"51,749",St. James' Park,Martin Atkinson,Match Report,https://fbref.com/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats,https://fbref.com/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats,https://fbref.com/en/matches/dce15e01/Newcastle-United-Tottenham-Hotspur-August-11-2018-Premier-League,https://fbref.com/en/matches/dce15e01/Newcastle-United-Tottenham-Hotspur-August-11-2018-Premier-League
EPL,1,Sat,2018-08-11,15:00 (22:00),Watford,1.6,2–0,0.2,Brighton,"20,051",Vicarage Road Stadium,Jonathan Moss,Match Report,https://fbref.com/en/squads/2abfe087/2018-2019/Watford-Stats,https://fbref.com/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats,https://fbref.com/en/matches/b3a7c703/Watford-Brighton-and-Hove-Albion-August-11-2018-Premier-League,https://fbref.com/en/matches/b3a7c703/Watford-Brighton-and-Hove-Albion-August-11-2018-Premier-League
EPL,1,Sat,2018-08-11,15:00 (22:00),Huddersfield,0.6,0–3,1.9,Chelsea,"24,121",The John Smith's Stadium,Chris Kavanagh,Match Report,https://fbref.com/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats,https://fbref.com/en/squads/cff3d9bb/2018-2019/Chelsea-Stats,https://fbref.com/en/matches/d82a37a7/Huddersfield-Town-Chelsea-August-11-2018-Premier-League,https://fbref.com/en/matches/d82a37a7/Huddersfield-Town-Chelsea-August-11-2018-Premier-League
EPL,1,Sat,2018-08-11,15:00 (22:00),Bournemouth,2.2,2–0,1.4,Cardiff City,"10,353",Vitality Stadium,Kevin Friend,Match Report,https://fbref.com/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats,https://fbref.com/en/squads/75fae011/2018-2019/Cardiff-City-Stats,https://fbref.com/en/matches/352f5574/Bournemouth-Cardiff-City-August-11-2018-Premier-League,https://fbref.com/en/matches/352f5574/Bournemouth-Cardiff-City-August-11-2018-Premier-League
EPL,1,Sat,2018-08-11,15:00 (22:00),Fulham,0.6,0–2,1.0,Crystal Palace,"24,821",Craven Cottage,Mike Dean,Match Report,https://fbref.com/en/squads/fd962109/2018-2019/Fulham-Stats,https://fbref.com/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats,https://fbref.com/en/matches/30875601/Fulham-Crystal-Palace-August-11-2018-Premier-League,https://fbref.com/en/matches/30875601/Fulham-Crystal-Palace-August-11-2018-Premier-League
EPL,1,Sat,2018-08-11,17:30 (00:30),Wolves,0.9,2–2,0.7,Everton,"31,231",Molineux Stadium,Craig Pawson,Match Report,https://fbref.com/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats,https://fbref.com/en/squads/d3fd31cc/2018-2019/Everton-Stats,https://fbref.com/en/matches/8dc8eaeb/Wolverhampton-Wanderers-Everton-August-11-2018-Premier-League,https://fbref.com/en/matches/8dc8eaeb/Wolverhampton-Wanderers-Everton-August-11-2018-Premier-League
EPL,1,Sun,2018-08-12,13:30 (20:30),Southampton,1.0,0–0,1.2,Burnley,"30,784",St. Mary's Stadium,Graham Scott,Match Report,https://fbref.com/en/squads/33c895d4/2018-2019/Southampton-Stats,https://fbref.com/en/squads/943e8050/2018-2019/Burnley-Stats,https://fbref.com/en/matches/aadb88b9/Southampton-Burnley-August-12-2018-Premier-League,https://fbref.com/en/matches/aadb88b9/Southampton-Burnley-August-12-2018-Premier-League
EPL,1,Sun,2018-08-12,13:30 (20:30),Liverpool,5.0,4–0,0.9,West Ham,"53,235",Anfield,Anthony Taylor,Match Report,https://fbref.com/en/squads/822bd0ba/2018-2019/Liverpool-Stats,https://fbref.com/en/squads/7c21e445/2018-2019/West-Ham-United-Stats,https://fbref.com/en/matches/fc2c1788/Liverpool-West-Ham-United-August-12-2018-Premier-League,https://fbref.com/en/matches/fc2c1788/Liverpool-West-Ham-United-August-12-2018-Premier-League
EPL,1,Sun,2018-08-12,16:00 (23:00),Arsenal,0.6,0–2,1.8,Manchester City,"59,934",Emirates Stadium,Michael Oliver,Match Report,https://fbref.com/en/squads/18bb7c10/2018-2019/Arsenal-Stats,https://fbref.com/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats,https://fbref.com/en/matches/478e9dab/Arsenal-Manchester-City-August-12-2018-Premier-League,https://fbref.com/en/matches/478e9dab/Arsenal-Manchester-City-August-12-2018-Premier-League
