date,match_link,home,away,home_elo,away_elo
2018-08-10,https://fbref.com/en/matches/3ae83896/Manchester-United-Leicester-City-August-10-2018-Premier-League,Manchester Utd,Leicester City,1882.10632324,1694.62695312
2018-08-11,https://fbref.com/en/matches/dce15e01/Newcastle-United-Tottenham-Hotspur-August-11-2018-Premier-League,Newcastle Utd,Tottenham,1668.02722168,1912.03259277
2018-08-11,https://fbref.com/en/matches/b3a7c703/Watford-Brighton-and-Hove-Albion-August-11-2018-Premier-League,Watford,Brighton,1623.55834961,1630.10314941
2018-08-11,https://fbref.com/en/matches/d82a37a7/Huddersfield-Town-Chelsea-August-11-2018-Premier-League,Huddersfield,Chelsea,1564.38769531,1834.38476562
2018-08-11,https://fbref.com/en/matches/352f5574/Bournemouth-Cardiff-City-August-11-2018-Premier-League,Bournemouth,Cardiff City,1670.94238281,1573.83190918
2018-08-11,https://fbref.com/en/matches/30875601/Fulham-Crystal-Palace-August-11-2018-Premier-League,Fulham,Crystal Palace,1631.11181641,1690.20556641
2018-08-11,https://fbref.com/en/matches/8dc8eaeb/Wolverhampton-Wanderers-Everton-August-11-2018-Premier-League,Wolves,Everton,1590.42431641,1696.79870605
2018-08-12,https://fbref.com/en/matches/aadb88b9/Southampton-Burnley-August-12-2018-Premier-League,Southampton,Burnley,1651.05493164,1688.92614746
2018-08-12,https://fbref.com/en/matches/fc2c1788/Liverpool-West-Ham-United-August-12-2018-Premier-League,Liverpool,West Ham,1915.12756348,1671.35351562
2018-08-12,https://fbref.com/en/matches/478e9dab/Arsenal-Manchester-City-August-12-2018-Premier-League,Arsenal,Manchester City,1819.90112305,1971.90625
2018-08-18,https://fbref.com/en/matches/8b9218b2/Cardiff-City-Newcastle-United-August-18-2018-Premier-League,Cardiff City,Newcastle Utd,1568.37207031,1664.52368164
2018-08-18,https://fbref.com/en/matches/7b877ffd/Everton-Southampton-August-18-2018-Premier-League,Everton,Southampton,1698.81921387,1650.30187988
2018-08-18,https://fbref.com/en/matches/19d6b566/West-Ham-United-Bournemouth-August-18-2018-Premier-League,West Ham,Bournemouth,1667.60852051,1677.19213867
2018-08-18,https://fbref.com/en/matches/8088d605/Leicester-City-Wolverhampton-Wanderers-August-18-2018-Premier-League,Leicester City,Wolves,1695.07824707,1591.94091797
2018-08-18,https://fbref.com/en/matches/aa8f0365/Tottenham-Hotspur-Fulham-August-18-2018-Premier-League,Tottenham,Fulham,1916.32617188,1622.60180664
2018-08-18,https://fbref.com/en/matches/9b69882c/North-West-London-Derby-Chelsea-Arsenal-August-18-2018-Premier-League,Chelsea,Arsenal,1840.80822754,1812.41149902
2018-08-19,https://fbref.com/en/matches/64ee90d5/Manchester-City-Huddersfield-Town-August-19-2018-Premier-League,Manchester City,Huddersfield,1980.18591309,1558.75415039
2018-08-19,https://fbref.com/en/matches/5f6c378d/Burnley-Watford-August-19-2018-Premier-League,Burnley,Watford,1702.296875,1633.20690918
2018-08-19,https://fbref.com/en/matches/620ebbfd/Brighton-and-Hove-Albion-Manchester-United-August-19-2018-Premier-League,Brighton,Manchester Utd,1621.24462891,1885.19213867
2018-08-20,https://fbref.com/en/matches/24e4536f/Crystal-Palace-Liverpool-August-20-2018-Premier-League,Crystal Palace,Liverpool,1704.99987793,1918.87255859
2018-08-25,https://fbref.com/en/matches/a25a3f33/Wolverhampton-Wanderers-Manchester-City-August-25-2018-Premier-League,Wolves,Manchester City,1588.90734863,1984.51208496
2018-08-25,https://fbref.com/en/matches/4e5f55cb/Southampton-Leicester-City-August-25-2018-Premier-League,Southampton,Leicester City,1647.65710449,1700.85888672
2018-08-25,https://fbref.com/en/matches/0014076a/Arsenal-West-Ham-United-August-25-2018-Premier-League,Arsenal,West Ham,1809.50231934,1661.15991211
2018-08-25,https://fbref.com/en/matches/b9a56747/Bournemouth-Everton-August-25-2018-Premier-League,Bournemouth,Everton,1689.1348877,1704.21105957
2018-08-25,https://fbref.com/en/matches/846881a8/Huddersfield-Town-Cardiff-City-August-25-2018-Premier-League,Huddersfield,Cardiff City,1559.92211914,1571.9954834
2018-08-25,https://fbref.com/en/matches/db5e61cc/Liverpool-Brighton-and-Hove-Albion-August-25-2018-Premier-League,Liverpool,Brighton,1927.67321777,1637.17980957
2018-08-26,https://fbref.com/en/matches/6ad36993/Watford-Crystal-Palace-August-26-2018-Premier-League,Watford,Crystal Palace,1652.45080566,1698.94628906
2018-08-26,https://fbref.com/en/matches/e8521900/Newcastle-United-Chelsea-August-26-2018-Premier-League,Newcastle Utd,Chelsea,1662.62866211,1849.21154785
2018-08-26,https://fbref.com/en/matches/55af3b90/Fulham-Burnley-August-26-2018-Premier-League,Fulham,Burnley,1620.56140137,1670.68713379
2018-08-27,https://fbref.com/en/matches/4bda33db/Manchester-United-Tottenham-Hotspur-August-27-2018-Premier-League,Manchester Utd,Tottenham,1874.75109863,1921.11364746
2018-09-01,https://fbref.com/en/matches/265bb7a5/Leicester-City-Liverpool-September-1-2018-Premier-League,Leicester City,Liverpool,1703.00024414,1925.42529297
2018-09-01,https://fbref.com/en/matches/2909fa0b/Crystal-Palace-Southampton-September-1-2018-Premier-League,Crystal Palace,Southampton,1687.57910156,1633.03552246
2018-09-01,https://fbref.com/en/matches/51055c21/Brighton-and-Hove-Albion-Fulham-September-1-2018-Premier-League,Brighton,Fulham,1629.42175293,1625.52905273
2018-09-01,https://fbref.com/en/matches/95fc9c84/Chelsea-Bournemouth-September-1-2018-Premier-League,Chelsea,Bournemouth,1850.55761719,1683.9498291
2018-09-01,https://fbref.com/en/matches/c600b8ae/West-Ham-United-Wolverhampton-Wanderers-September-1-2018-Premier-League,West Ham,Wolves,1652.94555664,1592.55004883
2018-09-01,https://fbref.com/en/matches/a3a1e07f/Everton-Huddersfield-Town-September-1-2018-Premier-League,Everton,Huddersfield,1701.86425781,1554.65258789
2018-09-01,https://fbref.com/en/matches/f74a4680/Manchester-City-Newcastle-United-September-1-2018-Premier-League,Manchester City,Newcastle Utd,1973.33764648,1657.51672363
2018-09-02,https://fbref.com/en/matches/c1503e09/Cardiff-City-Arsenal-September-2-2018-Premier-League,Cardiff City,Arsenal,1569.73327637,1810.18505859
2018-09-02,https://fbref.com/en/matches/882380f8/Watford-Tottenham-Hotspur-September-2-2018-Premier-League,Watford,Tottenham,1653.81201172,1929.7130127
2018-09-02,https://fbref.com/en/matches/c2561ae7/Burnley-Manchester-United-September-2-2018-Premier-League,Burnley,Manchester Utd,1649.55505371,1856.14587402
2018-09-15,https://fbref.com/en/matches/83ca29de/Tottenham-Hotspur-Liverpool-September-15-2018-Premier-League,Tottenham,Liverpool,1929.7130127,1927.04772949
