league,week,day,date,time,home,home_xg,score,away_xg,away,attendance,venue,referee,match_report,home_link,away_link,match_link,report_link
ISA,1,Sat,2020-09-19,18:00 (00:00),Fiorentina,1.9,1–0,0.6,Torino,,Stadio Artemio Franchi,Rosario Abisso,Match Report,https://fbref.com/en/squads/421387cf/2020-2021/Fiorentina-Stats,https://fbref.com/en/squads/105360fe/2020-2021/Torino-Stats,https://fbref.com/en/matches/34e95e35/Fiorentina-Torino-September-19-2020-Serie-A,https://fbref.com/en/matches/34e95e35/Fiorentina-Torino-September-19-2020-Serie-A
ISA,1,Sat,2020-09-19,20:45 (02:45),Hellas Verona,1.3,3–0,1.7,Roma,,Stadio Marc'Antonio Bentegodi,Daniele Chiffi,Match Report,https://fbref.com/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats,https://fbref.com/en/squads/cf74a709/2020-2021/Roma-Stats,https://fbref.com/en/matches/e0a20cfe/Hellas-Verona-Roma-September-19-2020-Serie-A,https://fbref.com/en/matches/e0a20cfe/Hellas-Verona-Roma-September-19-2020-Serie-A
ISA,1,Sun,2020-09-20,12:30 (18:30),Parma,0.2,0–2,1.6,Napoli,"1,000",Stadio Ennio Tardini,Maurizio Mariani,Match Report,https://fbref.com/en/squads/eab4234c/2020-2021/Parma-Stats,https://fbref.com/en/squads/d48ad4ff/2020-2021/Napoli-Stats,https://fbref.com/en/matches/a3e10e13/Parma-Napoli-September-20-2020-Serie-A,https://fbref.com/en/matches/a3e10e13/Parma-Napoli-September-20-2020-Serie-A
ISA,1,Sun,2020-09-20,15:00 (21:00),Genoa,2.0,4–1,1.2,Crotone,,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,Match Report,https://fbref.com/en/squads/658bf2de/2020-2021/Genoa-Stats,https://fbref.com/en/squads/3074d7b1/2020-2021/Crotone-Stats,https://fbref.com/en/matches/640f64f3/Genoa-Crotone-September-20-2020-Serie-A,https://fbref.com/en/matches/640f64f3/Genoa-Crotone-September-20-2020-Serie-A
ISA,1,Sun,2020-09-20,18:00 (00:00),Sassuolo,2.3,1–1,1.0,Cagliari,850,Stadio Città del Tricolore,Livio Marinelli,Match Report,https://fbref.com/en/squads/e2befd26/2020-2021/Sassuolo-Stats,https://fbref.com/en/squads/c4260e09/2020-2021/Cagliari-Stats,https://fbref.com/en/matches/e2711951/Sassuolo-Cagliari-September-20-2020-Serie-A,https://fbref.com/en/matches/e2711951/Sassuolo-Cagliari-September-20-2020-Serie-A
ISA,1,Sun,2020-09-20,20:45 (02:45),Juventus,2.4,3–0,0.8,Sampdoria,"1,000",Allianz Stadium,Marco Piccinini,Match Report,https://fbref.com/en/squads/e0652b02/2020-2021/Juventus-Stats,https://fbref.com/en/squads/8ff9e3b3/2020-2021/Sampdoria-Stats,https://fbref.com/en/matches/bd0688ef/Juventus-Sampdoria-September-20-2020-Serie-A,https://fbref.com/en/matches/bd0688ef/Juventus-Sampdoria-September-20-2020-Serie-A
ISA,1,Mon,2020-09-21,20:45 (02:45),Milan,2.9,2–0,0.9,Bologna,"1,000",Stadio Giuseppe Meazza,Federico La Penna,Match Report,https://fbref.com/en/squads/dc56fe14/2020-2021/Milan-Stats,https://fbref.com/en/squads/1d8099f8/2020-2021/Bologna-Stats,https://fbref.com/en/matches/3019a52b/Milan-Bologna-September-21-2020-Serie-A,https://fbref.com/en/matches/3019a52b/Milan-Bologna-September-21-2020-Serie-A
ISA,2,Sat,2020-09-26,15:00 (21:00),Torino,0.7,2–4,1.6,Atalanta,"1,000",Stadio Olimpico di Torino,Massimiliano Irrati,Match Report,https://fbref.com/en/squads/105360fe/2020-2021/Torino-Stats,https://fbref.com/en/squads/922493f3/2020-2021/Atalanta-Stats,https://fbref.com/en/matches/63e992fa/Torino-Atalanta-September-26-2020-Serie-A,https://fbref.com/en/matches/63e992fa/Torino-Atalanta-September-26-2020-Serie-A
ISA,2,Sat,2020-09-26,18:00 (00:00),Cagliari,1.0,0–2,2.1,Lazio,"1,000",Sardegna Arena,Davide Massa,Match Report,https://fbref.com/en/squads/c4260e09/2020-2021/Cagliari-Stats,https://fbref.com/en/squads/7213da33/2020-2021/Lazio-Stats,https://fbref.com/en/matches/68fb3c72/Cagliari-Lazio-September-26-2020-Serie-A,https://fbref.com/en/matches/68fb3c72/Cagliari-Lazio-September-26-2020-Serie-A
ISA,2,Sat,2020-09-26,18:00 (00:00),Sampdoria,1.6,2–3,1.2,Benevento,"1,000",Stadio Comunale Luigi Ferraris,Federico Dionisi,Match Report,https://fbref.com/en/squads/8ff9e3b3/2020-2021/Sampdoria-Stats,https://fbref.com/en/squads/4fcb34fd/2020-2021/Benevento-Stats,https://fbref.com/en/matches/0505790f/Sampdoria-Benevento-September-26-2020-Serie-A,https://fbref.com/en/matches/0505790f/Sampdoria-Benevento-September-26-2020-Serie-A
ISA,2,Sat,2020-09-26,20:45 (02:45),Inter,2.8,4–3,2.5,Fiorentina,"1,000",Stadio Giuseppe Meazza,Giampaolo Calvarese,Match Report,https://fbref.com/en/squads/d609edc0/2020-2021/Internazionale-Stats,https://fbref.com/en/squads/421387cf/2020-2021/Fiorentina-Stats,https://fbref.com/en/matches/87f435d8/Internazionale-Fiorentina-September-26-2020-Serie-A,https://fbref.com/en/matches/87f435d8/Internazionale-Fiorentina-September-26-2020-Serie-A
ISA,2,Sun,2020-09-27,12:30 (18:30),Spezia,1.1,1–4,2.8,Sassuolo,"1,000",Stadio Dino Manuzzi,Davide Ghersini,Match Report,https://fbref.com/en/squads/68449f6d/2020-2021/Spezia-Stats,https://fbref.com/en/squads/e2befd26/2020-2021/Sassuolo-Stats,https://fbref.com/en/matches/f35a0315/Spezia-Sassuolo-September-27-2020-Serie-A,https://fbref.com/en/matches/f35a0315/Spezia-Sassuolo-September-27-2020-Serie-A
ISA,2,Sun,2020-09-27,15:00 (21:00),Hellas Verona,1.0,1–0,1.7,Udinese,"1,000",Stadio Marc'Antonio Bentegodi,Manuel Volpi,Match Report,https://fbref.com/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats,https://fbref.com/en/squads/04eea015/2020-2021/Udinese-Stats,https://fbref.com/en/matches/671a6bea/Hellas-Verona-Udinese-September-27-2020-Serie-A,https://fbref.com/en/matches/671a6bea/Hellas-Verona-Udinese-September-27-2020-Serie-A
ISA,2,Sun,2020-09-27,18:00 (00:00),Napoli,2.4,6–0,0.6,Genoa,"1,000",Stadio San Paolo,Juan Sacchi,Match Report,https://fbref.com/en/squads/d48ad4ff/2020-2021/Napoli-Stats,https://fbref.com/en/squads/658bf2de/2020-2021/Genoa-Stats,https://fbref.com/en/matches/28218c1b/Napoli-Genoa-September-27-2020-Serie-A,https://fbref.com/en/matches/28218c1b/Napoli-Genoa-September-27-2020-Serie-A
ISA,2,Sun,2020-09-27,18:00 (00:00),Crotone,0.3,0–2,2.4,Milan,,Stadio Ezio Scida,Luca Pairetto,Match Report,https://fbref.com/en/squads/3074d7b1/2020-2021/Crotone-Stats,https://fbref.com/en/squads/dc56fe14/2020-2021/Milan-Stats,https://fbref.com/en/matches/25339616/Crotone-Milan-September-27-2020-Serie-A,https://fbref.com/en/matches/25339616/Crotone-Milan-September-27-2020-Serie-A
ISA,2,Sun,2020-09-27,20:45 (02:45),Roma,2.7,2–2,1.3,Juventus,"1,000",Stadio Olimpico,Marco Di Bello,Match Report,https://fbref.com/en/squads/cf74a709/2020-2021/Roma-Stats,https://fbref.com/en/squads/e0652b02/2020-2021/Juventus-Stats,https://fbref.com/en/matches/813850ed/Roma-Juventus-September-27-2020-Serie-A,https://fbref.com/en/matches/813850ed/Roma-Juventus-September-27-2020-Serie-A
ISA,2,Mon,2020-09-28,20:45 (02:45),Bologna,2.2,4–1,1.0,Parma,"1,000",Stadio Renato Dall'Ara,Paolo Valeri,Match Report,https://fbref.com/en/squads/1d8099f8/2020-2021/Bologna-Stats,https://fbref.com/en/squads/eab4234c/2020-2021/Parma-Stats,https://fbref.com/en/matches/ddc857bc/Bologna-Parma-September-28-2020-Serie-A,https://fbref.com/en/matches/ddc857bc/Bologna-Parma-September-28-2020-Serie-A
ISA,1,Wed,2020-09-30,18:00 (00:00),Udinese,2.1,0–2,0.7,Spezia,"1,000",Dacia Arena,Alessandro Prontera,Match Report,https://fbref.com/en/squads/04eea015/2020-2021/Udinese-Stats,https://fbref.com/en/squads/68449f6d/2020-2021/Spezia-Stats,https://fbref.com/en/matches/5ca8fe51/Udinese-Spezia-September-30-2020-Serie-A,https://fbref.com/en/matches/5ca8fe51/Udinese-Spezia-September-30-2020-Serie-A
ISA,1,Wed,2020-09-30,18:00 (00:00),Benevento,1.5,2–5,3.5,Inter,"1,000",Stadio Ciro Vigorito,Marco Piccinini,Match Report,https://fbref.com/en/squads/4fcb34fd/2020-2021/Benevento-Stats,https://fbref.com/en/squads/d609edc0/2020-2021/Internazionale-Stats,https://fbref.com/en/matches/1d2d65d6/Benevento-Internazionale-September-30-2020-Serie-A,https://fbref.com/en/matches/1d2d65d6/Benevento-Internazionale-September-30-2020-Serie-A
ISA,1,Wed,2020-09-30,20:45 (02:45),Lazio,2.6,1–4,1.7,Atalanta,"1,000",Stadio Olimpico,Fabio Maresca,Match Report,https://fbref.com/en/squads/7213da33/2020-2021/Lazio-Stats,https://fbref.com/en/squads/922493f3/2020-2021/Atalanta-Stats,https://fbref.com/en/matches/895c84f1/Lazio-Atalanta-September-30-2020-Serie-A,https://fbref.com/en/matches/895c84f1/Lazio-Atalanta-September-30-2020-Serie-A
ISA,3,Fri,2020-10-02,20:45 (02:45),Fiorentina,2.1,1–2,2.4,Sampdoria,"1,000",Stadio Artemio Franchi,Piero Giacomelli,Match Report,https://fbref.com/en/squads/421387cf/2020-2021/Fiorentina-Stats,https://fbref.com/en/squads/8ff9e3b3/2020-2021/Sampdoria-Stats,https://fbref.com/en/matches/853ed5b4/Fiorentina-Sampdoria-October-2-2020-Serie-A,https://fbref.com/en/matches/853ed5b4/Fiorentina-Sampdoria-October-2-2020-Serie-A
