Rank,Club,Country,Level,Elo,From,To
None,Benevento,ITA,2,1407.81298828,2016-07-01,2016-07-28
None,Benevento,ITA,2,1408.29504395,2016-07-29,2016-08-04
None,Benevento,ITA,2,1411.51464844,2016-08-05,2016-08-17
None,Benevento,ITA,2,1412.22546387,2016-08-18,2016-08-18
None,Benevento,ITA,2,1412.64245605,2016-08-19,2016-08-23
None,Benevento,ITA,2,1402.94824219,2016-08-24,2016-08-25
None,Benevento,ITA,2,1402.94824219,2016-08-26,2016-08-27
None,Benevento,ITA,2,1411.84558105,2016-08-28,2016-09-04
None,Benevento,ITA,2,1417.2401123,2016-09-05,2016-09-10
None,Benevento,ITA,2,1430.20080566,2016-09-11,2016-09-13
None,Benevento,ITA,2,1433.3079834,2016-09-14,2016-09-14
None,Benevento,ITA,2,1431.54370117,2016-09-15,2016-09-15
None,Benevento,ITA,2,1429.06262207,2016-09-16,2016-09-17
None,Benevento,ITA,2,1429.36828613,2016-09-18,2016-09-20
None,Benevento,ITA,2,1424.95532227,2016-09-21,2016-09-24
None,Benevento,ITA,2,1446.20532227,2016-09-25,2016-09-27
None,Benevento,ITA,2,1448.70446777,2016-09-28,2016-09-28
None,Benevento,ITA,2,1451.73657227,2016-09-29,2016-09-29
None,Benevento,ITA,2,1445.20275879,2016-09-30,2016-10-01
None,Benevento,ITA,2,1450.53918457,2016-10-02,2016-10-09
None,Benevento,ITA,2,1442.59509277,2016-10-10,2016-10-15
None,Benevento,ITA,2,1436.16564941,2016-10-16,2016-10-18
None,Benevento,ITA,2,1437.7565918,2016-10-19,2016-10-19
None,Benevento,ITA,2,1433.1796875,2016-10-20,2016-10-20
None,Benevento,ITA,2,1436.57800293,2016-10-21,2016-10-22
None,Benevento,ITA,2,1434.23254395,2016-10-23,2016-10-25
None,Benevento,ITA,2,1427.87475586,2016-10-26,2016-10-29
None,Benevento,ITA,2,1434.88269043,2016-10-30,2016-11-01
None,Benevento,ITA,2,1434.78137207,2016-11-02,2016-11-02
None,Benevento,ITA,2,1432.22949219,2016-11-03,2016-11-03
None,Benevento,ITA,2,1432.97875977,2016-11-04,2016-11-07
None,Benevento,ITA,2,1441.33557129,2016-11-08,2016-11-13
None,Benevento,ITA,2,1447.27807617,2016-11-14,2016-11-19
None,Benevento,ITA,2,1456.99487305,2016-11-20,2016-11-22
None,Benevento,ITA,2,1461.05212402,2016-11-23,2016-11-23
None,Benevento,ITA,2,1459.57666016,2016-11-24,2016-11-24
