Rank,Club,Country,Level,Elo,From,To
None,Bilbao,ESP,1,1636.70458984,1939-10-22,1939-12-03
None,Bilbao,ESP,1,1621.71057129,1939-12-04,1939-12-10
None,Bilbao,ESP,1,1625.1998291,1939-12-11,1939-12-17
None,Bilbao,ESP,1,1637.35498047,1939-12-18,1939-12-24
None,Bilbao,ESP,1,1627.49658203,1939-12-25,1939-12-31
None,Bilbao,ESP,1,1625.3380127,1940-01-01,1940-01-07
None,Bilbao,ESP,1,1636.63293457,1940-01-08,1940-01-14
None,Bilbao,ESP,1,1644.10412598,1940-01-15,1940-01-21
None,Bilbao,ESP,1,1658.21313477,1940-01-22,1940-01-28
None,Bilbao,ESP,1,1667.39831543,1940-01-29,1940-02-04
None,Bilbao,ESP,1,1655.29174805,1940-02-05,1940-02-11
None,Bilbao,ESP,1,1646.64208984,1940-02-12,1940-02-18
None,Bilbao,ESP,1,1639.27404785,1940-02-19,1940-02-25
None,Bilbao,ESP,1,1629.31396484,1940-02-26,1940-03-03
None,Bilbao,ESP,1,1631.09020996,1940-03-04,1940-03-10
None,Bilbao,ESP,1,1635.0703125,1940-03-11,1940-03-17
None,Bilbao,ESP,1,1637.98632812,1940-03-18,1940-03-24
None,Bilbao,ESP,1,1649.35742188,1940-03-25,1940-03-31
None,Bilbao,ESP,1,1663.40893555,1940-04-01,1940-04-07
None,Bilbao,ESP,1,1670.38647461,1940-04-08,1940-04-14
None,Bilbao,ESP,1,1664.65686035,1940-04-15,1940-04-21
None,Bilbao,ESP,1,1675.15515137,1940-04-22,1940-04-28
None,Bilbao,ESP,1,1681.97692871,1940-04-29,1940-09-29
None,Bilbao,ESP,1,1684.07202148,1940-09-30,1940-10-06
None,Bilbao,ESP,1,1679.02661133,1940-10-07,1940-10-13
None,Bilbao,ESP,1,1673.61010742,1940-10-14,1940-10-20
None,Bilbao,ESP,1,1650.71557617,1940-10-21,1940-10-27
None,Bilbao,ESP,1,1653.4041748,1940-10-28,1940-11-03
None,Bilbao,ESP,1,1655.53710938,1940-11-04,1940-11-10
None,Bilbao,ESP,1,1665.43945312,1940-11-11,1940-11-17
None,Bilbao,ESP,1,1670.0871582,1940-11-18,1940-11-24
None,Bilbao,ESP,1,1681.7130127,1940-11-25,1940-12-01
None,Bilbao,ESP,1,1677.71179199,1940-12-02,1940-12-08
None,Bilbao,ESP,1,1682.65673828,1940-12-09,1940-12-15
None,Bilbao,ESP,1,1690.1965332,1940-12-16,1940-12-22
None,Bilbao,ESP,1,1690.90820312,1940-12-23,1940-12-29
None,Bilbao,ESP,1,1696.7376709,1940-12-30,1941-01-06
None,Bilbao,ESP,1,1701.49145508,1941-01-07,1941-01-19
None,Bilbao,ESP,1,1703.14355469,1941-01-20,1941-01-26
None,Bilbao,ESP,1,1711.66210938,1941-01-27,1941-02-02
None,Bilbao,ESP,1,1715.44604492,1941-02-03,1941-02-09
None,Bilbao,ESP,1,1723.87902832,1941-02-10,1941-02-16
None,Bilbao,ESP,1,1728.88256836,1941-02-17,1941-02-23
None,Bilbao,ESP,1,1732.33300781,1941-02-24,1941-03-02
None,Bilbao,ESP,1,1726.23327637,1941-03-03,1941-03-23
None,Bilbao,ESP,1,1730.23327637,1941-03-24,1941-09-28
None,Bilbao,ESP,1,1710.61254883,1941-09-29,1941-10-05
None,Bilbao,ESP,1,1697.40576172,1941-10-06,1941-10-12
None,Bilbao,ESP,1,1701.49694824,1941-10-13,1941-10-19
None,Bilbao,ESP,1,1704.69799805,1941-10-20,1941-10-26
None,Bilbao,ESP,1,1707.92919922,1941-10-27,1941-11-02
None,Bilbao,ESP,1,1717.71179199,1941-11-03,1941-11-09
None,Bilbao,ESP,1,1722.79431152,1941-11-10,1941-11-16
None,Bilbao,ESP,1,1727.27624512,1941-11-17,1941-11-23
