Rank,Club,Country,Level,Elo,From,To
None,Brescia,ITA,1,1722.61303711,1946-07-07,1946-09-22
None,Brescia,ITA,1,1712.25891113,1946-09-23,1946-09-29
None,Brescia,ITA,1,1718.02258301,1946-09-30,1946-10-06
None,Brescia,ITA,1,1715.3338623,1946-10-07,1946-10-13
None,Brescia,ITA,1,1718.13977051,1946-10-14,1946-10-20
None,Brescia,ITA,1,1708.60144043,1946-10-21,1946-10-27
None,Brescia,ITA,1,1706.01953125,1946-10-28,1946-11-03
None,Brescia,ITA,1,1701.43444824,1946-11-04,1946-11-10
None,Brescia,ITA,1,1691.57006836,1946-11-11,1946-11-12
None,Brescia,ITA,1,1683.92248535,1946-11-13,1946-11-24
None,Brescia,ITA,1,1689.78588867,1946-11-25,1946-12-07
None,Brescia,ITA,1,1691.78588867,1946-12-08,1946-12-08
None,Brescia,ITA,1,1689.22058105,1946-12-09,1946-12-15
None,Brescia,ITA,1,1699.64733887,1946-12-16,1946-12-22
None,Brescia,ITA,1,1680.78161621,1946-12-23,1946-12-29
None,Brescia,ITA,1,1677.80065918,1946-12-30,1947-01-05
None,Brescia,ITA,1,1668.99023438,1947-01-06,1947-01-12
None,Brescia,ITA,1,1673.68847656,1947-01-13,1947-01-19
None,Brescia,ITA,1,1659.3380127,1947-01-20,1947-01-26
None,Brescia,ITA,1,1652.0534668,1947-01-27,1947-02-02
None,Brescia,ITA,1,1645.57275391,1947-02-03,1947-02-16
None,Brescia,ITA,1,1660.41577148,1947-02-17,1947-02-23
None,Brescia,ITA,1,1656.98034668,1947-02-24,1947-03-02
None,Brescia,ITA,1,1662.24438477,1947-03-03,1947-03-09
None,Brescia,ITA,1,1660.86816406,1947-03-10,1947-03-16
None,Brescia,ITA,1,1669.05041504,1947-03-17,1947-03-23
None,Brescia,ITA,1,1666.43920898,1947-03-24,1947-03-30
None,Brescia,ITA,1,1675.93652344,1947-03-31,1947-04-06
None,Brescia,ITA,1,1679.81311035,1947-04-07,1947-04-13
None,Brescia,ITA,1,1673.29321289,1947-04-14,1947-04-20
None,Brescia,ITA,1,1666.38269043,1947-04-21,1947-04-28
None,Brescia,ITA,1,1669.38269043,1947-04-29,1947-05-04
None,Brescia,ITA,1,1678.73706055,1947-05-05,1947-05-14
None,Brescia,ITA,1,1681.73706055,1947-05-15,1947-05-25
None,Brescia,ITA,1,1685.60327148,1947-05-26,1947-06-01
None,Brescia,ITA,1,1686.66003418,1947-06-02,1947-06-15
None,Brescia,ITA,1,1692.52722168,1947-06-16,1947-06-22
None,Brescia,ITA,1,1686.4296875,1947-06-23,1947-06-29
None,Brescia,ITA,1,1692.40612793,1947-06-30,1947-07-06
None,Brescia,ITA,1,1702.63085938,1947-07-07,1947-09-14
None,Brescia,ITA,2,1705.66149902,1947-09-15,1947-09-21
None,Brescia,ITA,2,1712.09521484,1947-09-22,1947-09-28
None,Brescia,ITA,2,1715.29528809,1947-09-29,1947-10-05
None,Brescia,ITA,2,1723.58203125,1947-10-06,1947-10-12
None,Brescia,ITA,2,1726.16333008,1947-10-13,1947-10-19
None,Brescia,ITA,2,1724.78723145,1947-10-20,1947-10-26
None,Brescia,ITA,2,1731.37414551,1947-10-27,1947-11-02
None,Brescia,ITA,2,1724.81469727,1947-11-03,1947-11-15
None,Brescia,ITA,2,1695.81469727,1947-11-16,1947-11-16
None,Brescia,ITA,2,1702.78601074,1947-11-17,1947-11-23
None,Brescia,ITA,2,1704.64404297,1947-11-24,1947-11-30
None,Brescia,ITA,2,1697.71325684,1947-12-01,1947-12-07
None,Brescia,ITA,2,1688.10473633,1947-12-08,1947-12-18
None,Brescia,ITA,2,1692.10473633,1947-12-19,1947-12-21
None,Brescia,ITA,2,1678.02075195,1947-12-22,1947-12-28
None,Brescia,ITA,2,1671.67980957,1947-12-29,1948-01-04
None,Brescia,ITA,2,1670.42358398,1948-01-05,1948-01-11
None,Brescia,ITA,2,1672.55212402,1948-01-12,1948-01-18
None,Brescia,ITA,2,1671.40771484,1948-01-19,1948-02-15
None,Brescia,ITA,2,1657.76745605,1948-02-16,1948-02-22
None,Brescia,ITA,2,1650.9909668,1948-02-23,1948-02-29
None,Brescia,ITA,2,1648.55712891,1948-03-01,1948-03-07
None,Brescia,ITA,2,1651.44152832,1948-03-08,1948-03-14
None,Brescia,ITA,2,1656.50891113,1948-03-15,1948-03-21
None,Brescia,ITA,2,1650.31201172,1948-03-22,1948-03-28
None,Brescia,ITA,2,1654.9921875,1948-03-29,1948-04-05
None,Brescia,ITA,2,1660.9921875,1948-04-06,1948-04-11
None,Brescia,ITA,2,1655.07702637,1948-04-12,1948-04-17
None,Brescia,ITA,2,1647.36364746,1948-04-18,1948-04-25
None,Brescia,ITA,2,1640.07531738,1948-04-26,1948-05-02
None,Brescia,ITA,2,1632.53857422,1948-05-03,1948-05-09
None,Brescia,ITA,2,1636.87231445,1948-05-10,1948-05-17
None,Brescia,ITA,2,1609.87231445,1948-05-18,1948-05-23
None,Brescia,ITA,2,1603.8894043,1948-05-24,1948-05-30
None,Brescia,ITA,2,1596.88952637,1948-05-31,1948-06-06
None,Brescia,ITA,2,1599.47119141,1948-06-07,1948-06-13
None,Brescia,ITA,2,1599.30761719,1948-06-14,1948-06-20
None,Brescia,ITA,2,1601.5760498,1948-06-21,1948-09-19
None,Brescia,ITA,2,1591.31274414,1948-09-20,1948-09-26
None,Brescia,ITA,2,1583.49365234,1948-09-27,1948-10-03
None,Brescia,ITA,2,1587.46008301,1948-10-04,1948-10-10
None,Brescia,ITA,2,1590.52160645,1948-10-11,1948-10-17
None,Brescia,ITA,2,1612.48742676,1948-10-18,1948-10-24
None,Brescia,ITA,2,1598.71594238,1948-10-25,1948-10-31
None,Brescia,ITA,2,1600.40185547,1948-11-01,1948-11-04
None,Brescia,ITA,2,1594.62072754,1948-11-05,1948-11-07
None,Brescia,ITA,2,1588.58947754,1948-11-08,1948-11-14
None,Brescia,ITA,2,1598.26611328,1948-11-15,1948-11-21
None,Brescia,ITA,2,1603.61437988,1948-11-22,1948-11-28
None,Brescia,ITA,2,1598.67529297,1948-11-29,1948-12-05
None,Brescia,ITA,2,1581.91772461,1948-12-06,1948-12-12
None,Brescia,ITA,2,1576.26269531,1948-12-13,1948-12-19
None,Brescia,ITA,2,1576.453125,1948-12-20,1948-12-26
None,Brescia,ITA,2,1579.55664062,1948-12-27,1948-12-30
None,Brescia,ITA,2,1571.92858887,1948-12-31,1949-01-02
None,Brescia,ITA,2,1573.45019531,1949-01-03,1949-01-06
None,Brescia,ITA,2,1586.26696777,1949-01-07,1949-01-09
None,Brescia,ITA,2,1576.73352051,1949-01-10,1949-01-16
None,Brescia,ITA,2,1565.63183594,1949-01-17,1949-01-23
None,Brescia,ITA,2,1568.87011719,1949-01-24,1949-01-30
None,Brescia,ITA,2,1571.93786621,1949-01-31,1949-02-06
None,Brescia,ITA,2,1561.98242188,1949-02-07,1949-02-13
None,Brescia,ITA,2,1563.59204102,1949-02-14,1949-02-20
None,Brescia,ITA,2,1567.34375,1949-02-21,1949-03-05
None,Brescia,ITA,2,1569.34375,1949-03-06,1949-03-06
None,Brescia,ITA,2,1566.40515137,1949-03-07,1949-03-13
None,Brescia,ITA,2,1569.77587891,1949-03-14,1949-03-20
None,Brescia,ITA,2,1573.17431641,1949-03-21,1949-04-02
None,Brescia,ITA,2,1585.17431641,1949-04-03,1949-04-03
None,Brescia,ITA,2,1580.6315918,1949-04-04,1949-04-10
None,Brescia,ITA,2,1583.37658691,1949-04-11,1949-04-17
None,Brescia,ITA,2,1598.25134277,1949-04-18,1949-04-24
None,Brescia,ITA,2,1603.57849121,1949-04-25,1949-05-01
None,Brescia,ITA,2,1595.69750977,1949-05-02,1949-05-08
None,Brescia,ITA,2,1601.12792969,1949-05-09,1949-05-15
None,Brescia,ITA,2,1595.4420166,1949-05-16,1949-05-25
None,Brescia,ITA,2,1601.4420166,1949-05-26,1949-05-29
None,Brescia,ITA,2,1594.47888184,1949-05-30,1949-06-05
None,Brescia,ITA,2,1596.71813965,1949-06-06,1949-06-12
None,Brescia,ITA,2,1590.25402832,1949-06-13,1949-06-16
None,Brescia,ITA,2,1586.25402832,1949-06-17,1949-06-19
None,Brescia,ITA,2,1589.21960449,1949-06-20,1949-06-26
None,Brescia,ITA,2,1592.59973145,1949-06-27,1949-06-29
None,Brescia,ITA,2,1504.40734863,1949-06-30,1949-07-02
