Rank,Club,Country,Level,Elo,From,To
None,Cardiff,ENG,2,1318.22924805,1947-07-02,1947-08-23
None,Cardiff,ENG,2,1319.15368652,1947-08-24,1947-08-25
None,Cardiff,ENG,2,1327.95715332,1947-08-26,1947-08-30
None,Cardiff,ENG,2,1339.58422852,1947-08-31,1947-09-04
None,Cardiff,ENG,2,1341.27636719,1947-09-05,1947-09-06
None,Cardiff,ENG,2,1327.50817871,1947-09-07,1947-09-08
None,Cardiff,ENG,2,1341.66687012,1947-09-09,1947-09-13
None,Cardiff,ENG,2,1337.14099121,1947-09-14,1947-09-17
None,Cardiff,ENG,2,1340.82128906,1947-09-18,1947-09-20
None,Cardiff,ENG,2,1348.94250488,1947-09-21,1947-09-27
None,Cardiff,ENG,2,1359.87768555,1947-09-28,1947-10-04
None,Cardiff,ENG,2,1370.54296875,1947-10-05,1947-10-11
None,Cardiff,ENG,2,1376.54846191,1947-10-12,1947-10-18
None,Cardiff,ENG,2,1379.75219727,1947-10-19,1947-10-19
None,Cardiff,ENG,2,1407.75219727,1947-10-20,1947-10-25
None,Cardiff,ENG,2,1403.26391602,1947-10-26,1947-11-01
None,Cardiff,ENG,2,1401.93249512,1947-11-02,1947-11-08
None,Cardiff,ENG,2,1376.22106934,1947-11-09,1947-11-15
None,Cardiff,ENG,2,1375.08288574,1947-11-16,1947-11-22
None,Cardiff,ENG,2,1375.95263672,1947-11-23,1947-11-29
None,Cardiff,ENG,2,1390.05761719,1947-11-30,1947-12-06
None,Cardiff,ENG,2,1402.88146973,1947-12-07,1947-12-13
None,Cardiff,ENG,2,1408.12158203,1947-12-14,1947-12-20
None,Cardiff,ENG,2,1412.24755859,1947-12-21,1947-12-26
None,Cardiff,ENG,2,1408.59729004,1947-12-27,1948-01-01
None,Cardiff,ENG,2,1418.19055176,1948-01-02,1948-01-03
None,Cardiff,ENG,2,1428.92492676,1948-01-04,1948-01-17
None,Cardiff,ENG,2,1424.78588867,1948-01-18,1948-01-31
None,Cardiff,ENG,2,1430.32141113,1948-02-01,1948-02-07
None,Cardiff,ENG,2,1418.22558594,1948-02-08,1948-02-14
None,Cardiff,ENG,2,1427.62207031,1948-02-15,1948-02-21
None,Cardiff,ENG,2,1435.62390137,1948-02-22,1948-02-28
None,Cardiff,ENG,2,1437.9473877,1948-02-29,1948-03-06
None,Cardiff,ENG,2,1442.67333984,1948-03-07,1948-03-13
None,Cardiff,ENG,2,1451.17675781,1948-03-14,1948-03-20
None,Cardiff,ENG,2,1437.50842285,1948-03-21,1948-03-26
None,Cardiff,ENG,2,1418.73779297,1948-03-27,1948-03-27
None,Cardiff,ENG,2,1416.48791504,1948-03-28,1948-03-29
None,Cardiff,ENG,2,1409.33850098,1948-03-30,1948-04-03
None,Cardiff,ENG,2,1404.18261719,1948-04-04,1948-04-10
None,Cardiff,ENG,2,1404.5267334,1948-04-11,1948-04-11
None,Cardiff,ENG,2,1427.5267334,1948-04-12,1948-04-17
None,Cardiff,ENG,2,1423.57373047,1948-04-18,1948-04-24
None,Cardiff,ENG,2,1402.69897461,1948-04-25,1948-05-01
None,Cardiff,ENG,2,1413.66357422,1948-05-02,1948-05-17
None,Cardiff,ENG,2,1440.66357422,1948-05-18,1948-08-21
None,Cardiff,ENG,2,1431.42053223,1948-08-22,1948-08-23
None,Cardiff,ENG,2,1429.83459473,1948-08-24,1948-08-28
None,Cardiff,ENG,2,1438.9095459,1948-08-29,1948-08-30
None,Cardiff,ENG,2,1429.80700684,1948-08-31,1948-09-04
None,Cardiff,ENG,2,1432.76623535,1948-09-05,1948-09-09
None,Cardiff,ENG,2,1434.44238281,1948-09-10,1948-09-11
None,Cardiff,ENG,2,1447.58337402,1948-09-12,1948-09-13
None,Cardiff,ENG,2,1455.4921875,1948-09-14,1948-09-18
None,Cardiff,ENG,2,1457.06628418,1948-09-19,1948-09-25
None,Cardiff,ENG,2,1462.85522461,1948-09-26,1948-10-02
