Rank,Club,Country,Level,Elo,From,To
None,Chievo,ITA,2,1517.21289062,1994-07-13,1994-09-04
None,Chievo,ITA,2,1518.58557129,1994-09-05,1994-09-11
None,Chievo,ITA,2,1516.67272949,1994-09-12,1994-09-13
None,Chievo,ITA,2,1514.17651367,1994-09-14,1994-09-14
None,Chievo,ITA,2,1508.55480957,1994-09-15,1994-09-15
None,Chievo,ITA,2,1508.62731934,1994-09-16,1994-09-18
None,Chievo,ITA,2,1499.2052002,1994-09-19,1994-09-25
None,Chievo,ITA,2,1521.44665527,1994-09-26,1994-09-27
None,Chievo,ITA,2,1524.95935059,1994-09-28,1994-09-28
None,Chievo,ITA,2,1525.66894531,1994-09-29,1994-09-29
None,Chievo,ITA,2,1522.98388672,1994-09-30,1994-10-02
None,Chievo,ITA,2,1511.86047363,1994-10-03,1994-10-09
None,Chievo,ITA,2,1522.85693359,1994-10-10,1994-10-16
None,Chievo,ITA,2,1521.70349121,1994-10-17,1994-10-18
None,Chievo,ITA,2,1523.3260498,1994-10-19,1994-10-19
None,Chievo,ITA,2,1522.0793457,1994-10-20,1994-10-20
None,Chievo,ITA,2,1522.88342285,1994-10-21,1994-10-23
None,Chievo,ITA,2,1541.20019531,1994-10-24,1994-10-30
None,Chievo,ITA,2,1537.57409668,1994-10-31,1994-11-01
None,Chievo,ITA,2,1538.67883301,1994-11-02,1994-11-02
None,Chievo,ITA,2,1539.10449219,1994-11-03,1994-11-03
None,Chievo,ITA,2,1539.02270508,1994-11-04,1994-11-06
None,Chievo,ITA,2,1535.14624023,1994-11-07,1994-11-13
None,Chievo,ITA,2,1544.43164062,1994-11-14,1994-11-22
None,Chievo,ITA,2,1543.17224121,1994-11-23,1994-11-23
None,Chievo,ITA,2,1535.64257812,1994-11-24,1994-11-24
None,Chievo,ITA,2,1535.24133301,1994-11-25,1994-11-27
None,Chievo,ITA,2,1528.89746094,1994-11-28,1994-12-02
None,Chievo,ITA,2,1523.17871094,1994-12-03,1994-12-04
None,Chievo,ITA,2,1527.78259277,1994-12-05,1994-12-06
None,Chievo,ITA,2,1530.99829102,1994-12-07,1994-12-07
None,Chievo,ITA,2,1533.87243652,1994-12-08,1994-12-11
None,Chievo,ITA,2,1537.9597168,1994-12-12,1994-12-18
None,Chievo,ITA,2,1521.61071777,1994-12-19,1994-12-23
None,Chievo,ITA,2,1525.87792969,1994-12-24,1995-01-08
None,Chievo,ITA,2,1517.28271484,1995-01-09,1995-01-15
None,Chievo,ITA,2,1522.08935547,1995-01-16,1995-01-22
None,Chievo,ITA,2,1517.89855957,1995-01-23,1995-01-29
None,Chievo,ITA,2,1514.65026855,1995-01-30,1995-02-12
None,Chievo,ITA,2,1508.97131348,1995-02-13,1995-02-19
None,Chievo,ITA,2,1513.68212891,1995-02-20,1995-02-26
None,Chievo,ITA,2,1519.56665039,1995-02-27,1995-03-01
None,Chievo,ITA,2,1522.30310059,1995-03-02,1995-03-02
None,Chievo,ITA,2,1519.52893066,1995-03-03,1995-03-05
None,Chievo,ITA,2,1514.95031738,1995-03-06,1995-03-12
None,Chievo,ITA,2,1501.61682129,1995-03-13,1995-03-14
None,Chievo,ITA,2,1502.30419922,1995-03-15,1995-03-15
None,Chievo,ITA,2,1503.34851074,1995-03-16,1995-03-16
None,Chievo,ITA,2,1504.7052002,1995-03-17,1995-03-19
None,Chievo,ITA,2,1508.50585938,1995-03-20,1995-03-26
None,Chievo,ITA,2,1515.7520752,1995-03-27,1995-04-02
None,Chievo,ITA,2,1506.38769531,1995-04-03,1995-04-04
None,Chievo,ITA,2,1505.67272949,1995-04-05,1995-04-05
None,Chievo,ITA,2,1508.31799316,1995-04-06,1995-04-06
None,Chievo,ITA,2,1507.59509277,1995-04-07,1995-04-09
None,Chievo,ITA,2,1506.97216797,1995-04-10,1995-04-15
None,Chievo,ITA,2,1503.12561035,1995-04-16,1995-04-18
None,Chievo,ITA,2,1510.6895752,1995-04-19,1995-04-19
None,Chievo,ITA,2,1512.0526123,1995-04-20,1995-04-20
None,Chievo,ITA,2,1510.73291016,1995-04-21,1995-04-23
None,Chievo,ITA,2,1518.36193848,1995-04-24,1995-04-30
None,Chievo,ITA,2,1528.80407715,1995-05-01,1995-05-07
None,Chievo,ITA,2,1538.21350098,1995-05-08,1995-05-14
None,Chievo,ITA,2,1542.14697266,1995-05-15,1995-05-21
None,Chievo,ITA,2,1549.35546875,1995-05-22,1995-05-24
None,Chievo,ITA,2,1545.69287109,1995-05-25,1995-05-28
None,Chievo,ITA,2,1558.38269043,1995-05-29,1995-06-04
None,Chievo,ITA,2,1544.36816406,1995-06-05,1995-06-11
None,Chievo,ITA,2,1545.58972168,1995-06-12,1995-08-27
None,Chievo,ITA,2,1548.87780762,1995-08-28,1995-09-03
