Rank,Club,Country,Level,Elo,From,To
None,Eibar,ESP,2,1358.52880859,1988-07-03,1988-09-03
None,Eibar,ESP,2,1363.48120117,1988-09-04,1988-09-07
None,Eibar,ESP,2,1359.27429199,1988-09-08,1988-09-11
None,Eibar,ESP,2,1372.88098145,1988-09-12,1988-09-18
None,Eibar,ESP,2,1386.30334473,1988-09-19,1988-09-25
None,Eibar,ESP,2,1397.14819336,1988-09-26,1988-10-02
None,Eibar,ESP,2,1401.69274902,1988-10-03,1988-10-05
None,Eibar,ESP,2,1407.09729004,1988-10-06,1988-10-09
None,Eibar,ESP,2,1405.0189209,1988-10-10,1988-10-11
None,Eibar,ESP,2,1400.02734375,1988-10-12,1988-10-16
None,Eibar,ESP,2,1405.05712891,1988-10-17,1988-10-23
None,Eibar,ESP,2,1402.26293945,1988-10-24,1988-10-26
None,Eibar,ESP,2,1397.30993652,1988-10-27,1988-10-30
None,Eibar,ESP,2,1401.70080566,1988-10-31,1988-11-06
None,Eibar,ESP,2,1409.70227051,1988-11-07,1988-11-09
None,Eibar,ESP,2,1406.17590332,1988-11-10,1988-11-10
None,Eibar,ESP,2,1406.22741699,1988-11-11,1988-11-20
None,Eibar,ESP,2,1404.14074707,1988-11-21,1988-11-23
None,Eibar,ESP,2,1405.44519043,1988-11-24,1988-11-27
None,Eibar,ESP,2,1401.4173584,1988-11-28,1988-11-30
None,Eibar,ESP,2,1395.76794434,1988-12-01,1988-12-04
None,Eibar,ESP,2,1394.57116699,1988-12-05,1988-12-07
None,Eibar,ESP,2,1400.15759277,1988-12-08,1988-12-11
None,Eibar,ESP,2,1394.38195801,1988-12-12,1988-12-18
None,Eibar,ESP,2,1395.95349121,1988-12-19,1988-12-31
None,Eibar,ESP,2,1392.3704834,1989-01-01,1989-01-08
None,Eibar,ESP,2,1391.41052246,1989-01-09,1989-01-15
None,Eibar,ESP,2,1387.31542969,1989-01-16,1989-01-29
None,Eibar,ESP,2,1387.35705566,1989-01-30,1989-02-12
None,Eibar,ESP,2,1387.8223877,1989-02-13,1989-02-19
None,Eibar,ESP,2,1385.23254395,1989-02-20,1989-02-26
None,Eibar,ESP,2,1379.45092773,1989-02-27,1989-02-28
None,Eibar,ESP,2,1378.89233398,1989-03-01,1989-03-01
None,Eibar,ESP,2,1382.37353516,1989-03-02,1989-03-05
None,Eibar,ESP,2,1382.8717041,1989-03-06,1989-03-12
None,Eibar,ESP,2,1378.79150391,1989-03-13,1989-03-15
None,Eibar,ESP,2,1379.40979004,1989-03-16,1989-03-16
None,Eibar,ESP,2,1379.96838379,1989-03-17,1989-03-26
None,Eibar,ESP,2,1378.49511719,1989-03-27,1989-04-02
None,Eibar,ESP,2,1374.85522461,1989-04-03,1989-04-05
None,Eibar,ESP,2,1371.69030762,1989-04-06,1989-04-09
None,Eibar,ESP,2,1384.53820801,1989-04-10,1989-04-16
None,Eibar,ESP,2,1386.24230957,1989-04-17,1989-04-19
None,Eibar,ESP,2,1376.0411377,1989-04-20,1989-04-30
None,Eibar,ESP,2,1370.2520752,1989-05-01,1989-05-07
None,Eibar,ESP,2,1373.90917969,1989-05-08,1989-05-10
None,Eibar,ESP,2,1378.99108887,1989-05-11,1989-05-14
None,Eibar,ESP,2,1378.1385498,1989-05-15,1989-05-21
None,Eibar,ESP,2,1373.12329102,1989-05-22,1989-05-28
None,Eibar,ESP,2,1371.41760254,1989-05-29,1989-06-04
None,Eibar,ESP,2,1368.29199219,1989-06-05,1989-06-10
None,Eibar,ESP,2,1377.25488281,1989-06-11,1989-06-18
None,Eibar,ESP,2,1373.39831543,1989-06-19,1989-06-25
None,Eibar,ESP,2,1381.4876709,1989-06-26,1989-09-03
None,Eibar,ESP,2,1378.32373047,1989-09-04,1989-09-10
None,Eibar,ESP,2,1366.47766113,1989-09-11,1989-09-12
None,Eibar,ESP,2,1366.51501465,1989-09-13,1989-09-13
