Rank,Club,Country,Level,Elo,From,To
None,Frosinone,ITA,2,1491.57397461,2006-07-02,2006-08-09
None,Frosinone,ITA,2,1488.13586426,2006-08-10,2006-08-22
None,Frosinone,ITA,2,1488.57775879,2006-08-23,2006-08-23
None,Frosinone,ITA,2,1487.0916748,2006-08-24,2006-09-09
None,Frosinone,ITA,2,1480.09057617,2006-09-10,2006-09-12
None,Frosinone,ITA,2,1480.53112793,2006-09-13,2006-09-13
None,Frosinone,ITA,2,1481.01062012,2006-09-14,2006-09-14
None,Frosinone,ITA,2,1485.00500488,2006-09-15,2006-09-16
None,Frosinone,ITA,2,1483.47644043,2006-09-17,2006-09-19
None,Frosinone,ITA,2,1476.33178711,2006-09-20,2006-09-23
None,Frosinone,ITA,2,1474.33862305,2006-09-24,2006-09-26
None,Frosinone,ITA,2,1473.68078613,2006-09-27,2006-09-27
None,Frosinone,ITA,2,1467.36938477,2006-09-28,2006-09-28
None,Frosinone,ITA,2,1472.74121094,2006-09-29,2006-09-30
None,Frosinone,ITA,2,1482.02868652,2006-10-01,2006-10-14
None,Frosinone,ITA,2,1494.39001465,2006-10-15,2006-10-17
None,Frosinone,ITA,2,1495.68359375,2006-10-18,2006-10-18
None,Frosinone,ITA,2,1499.13293457,2006-10-19,2006-10-19
None,Frosinone,ITA,2,1500.40808105,2006-10-20,2006-10-21
None,Frosinone,ITA,2,1490.06115723,2006-10-22,2006-10-28
None,Frosinone,ITA,2,1489.3984375,2006-10-29,2006-10-31
None,Frosinone,ITA,2,1489.23962402,2006-11-01,2006-11-01
None,Frosinone,ITA,2,1497.8815918,2006-11-02,2006-11-02
None,Frosinone,ITA,2,1494.06933594,2006-11-03,2006-11-04
None,Frosinone,ITA,2,1502.44702148,2006-11-05,2006-11-11
None,Frosinone,ITA,2,1496.44543457,2006-11-12,2006-11-18
None,Frosinone,ITA,2,1502.78527832,2006-11-19,2006-11-21
None,Frosinone,ITA,2,1498.94970703,2006-11-22,2006-11-22
None,Frosinone,ITA,2,1497.3782959,2006-11-23,2006-11-23
None,Frosinone,ITA,2,1494.9128418,2006-11-24,2006-11-27
None,Frosinone,ITA,2,1492.90148926,2006-11-28,2006-11-29
None,Frosinone,ITA,2,1495.51416016,2006-11-30,2006-12-02
None,Frosinone,ITA,2,1498.86437988,2006-12-03,2006-12-05
None,Frosinone,ITA,2,1501.5826416,2006-12-06,2006-12-06
None,Frosinone,ITA,2,1495.75219727,2006-12-07,2006-12-09
None,Frosinone,ITA,2,1502.51049805,2006-12-10,2006-12-13
None,Frosinone,ITA,2,1502.24230957,2006-12-14,2006-12-14
None,Frosinone,ITA,2,1502.1619873,2006-12-15,2006-12-16
None,Frosinone,ITA,2,1496.58996582,2006-12-17,2006-12-19
None,Frosinone,ITA,2,1501.16088867,2006-12-20,2006-12-22
None,Frosinone,ITA,2,1488.48913574,2006-12-23,2007-01-13
None,Frosinone,ITA,2,1485.85107422,2007-01-14,2007-01-20
None,Frosinone,ITA,2,1488.82836914,2007-01-21,2007-01-27
None,Frosinone,ITA,2,1486.89489746,2007-01-28,2007-02-10
None,Frosinone,ITA,2,1488.45043945,2007-02-11,2007-02-14
None,Frosinone,ITA,2,1486.69604492,2007-02-15,2007-02-15
None,Frosinone,ITA,2,1485.25024414,2007-02-16,2007-02-17
None,Frosinone,ITA,2,1491.84472656,2007-02-18,2007-02-20
None,Frosinone,ITA,2,1491.85339355,2007-02-21,2007-02-21
None,Frosinone,ITA,2,1489.84130859,2007-02-22,2007-02-22
None,Frosinone,ITA,2,1485.85620117,2007-02-23,2007-02-24
None,Frosinone,ITA,2,1487.265625,2007-02-25,2007-03-03
None,Frosinone,ITA,2,1472.16552734,2007-03-04,2007-03-06
None,Frosinone,ITA,2,1478.97509766,2007-03-07,2007-03-07
None,Frosinone,ITA,2,1480.50769043,2007-03-08,2007-03-10
None,Frosinone,ITA,2,1467.30224609,2007-03-11,2007-03-13
None,Frosinone,ITA,2,1462.82641602,2007-03-14,2007-03-17
None,Frosinone,ITA,2,1454.39611816,2007-03-18,2007-03-25
None,Frosinone,ITA,2,1450.76184082,2007-03-26,2007-03-31
None,Frosinone,ITA,2,1462.40979004,2007-04-01,2007-04-03
None,Frosinone,ITA,2,1460.51879883,2007-04-04,2007-04-04
None,Frosinone,ITA,2,1461.84143066,2007-04-05,2007-04-06
None,Frosinone,ITA,2,1464.4263916,2007-04-07,2007-04-10
None,Frosinone,ITA,2,1459.23156738,2007-04-11,2007-04-11
None,Frosinone,ITA,2,1465.71606445,2007-04-12,2007-04-14
None,Frosinone,ITA,2,1470.32788086,2007-04-15,2007-04-17
None,Frosinone,ITA,2,1478.25146484,2007-04-18,2007-04-21
None,Frosinone,ITA,2,1470.16796875,2007-04-22,2007-04-24
None,Frosinone,ITA,2,1470.00805664,2007-04-25,2007-04-28
None,Frosinone,ITA,2,1465.20874023,2007-04-29,2007-05-01
None,Frosinone,ITA,2,1462.02539062,2007-05-02,2007-05-02
None,Frosinone,ITA,2,1469.12866211,2007-05-03,2007-05-05
None,Frosinone,ITA,2,1459.12194824,2007-05-06,2007-05-12
None,Frosinone,ITA,2,1461.35083008,2007-05-13,2007-05-19
None,Frosinone,ITA,2,1459.64111328,2007-05-20,2007-05-23
None,Frosinone,ITA,2,1462.41589355,2007-05-24,2007-05-26
None,Frosinone,ITA,2,1471.17956543,2007-05-27,2007-06-03
None,Frosinone,ITA,2,1480.8659668,2007-06-04,2007-06-10
None,Frosinone,ITA,2,1475.57836914,2007-06-11,2007-08-14
None,Frosinone,ITA,2,1473.67736816,2007-08-15,2007-08-16
None,Frosinone,ITA,2,1473.48083496,2007-08-17,2007-08-25
None,Frosinone,ITA,2,1465.20861816,2007-08-26,2007-08-28
None,Frosinone,ITA,2,1469.92102051,2007-08-29,2007-08-30
None,Frosinone,ITA,2,1464.94494629,2007-08-31,2007-09-01
None,Frosinone,ITA,2,1473.86743164,2007-09-02,2007-09-09
