Rank,Club,Country,Level,Elo,From,To
None,Lazio,ITA,1,1722.61303711,1946-07-07,1946-09-22
None,Lazio,ITA,1,1737.02172852,1946-09-23,1946-09-29
None,Lazio,ITA,1,1726.25390625,1946-09-30,1946-10-06
None,Lazio,ITA,1,1716.95544434,1946-10-07,1946-10-13
None,Lazio,ITA,1,1707.16186523,1946-10-14,1946-10-20
None,Lazio,ITA,1,1716.70019531,1946-10-21,1946-10-27
None,Lazio,ITA,1,1707.2623291,1946-10-28,1946-11-03
None,Lazio,ITA,1,1710.34912109,1946-11-04,1946-11-10
None,Lazio,ITA,1,1721.91772461,1946-11-11,1946-11-12
None,Lazio,ITA,1,1715.74194336,1946-11-13,1946-11-24
None,Lazio,ITA,1,1721.04870605,1946-11-25,1946-12-07
None,Lazio,ITA,1,1723.04870605,1946-12-08,1946-12-08
None,Lazio,ITA,1,1713.58435059,1946-12-09,1946-12-15
None,Lazio,ITA,1,1704.68249512,1946-12-16,1946-12-22
None,Lazio,ITA,1,1702.890625,1946-12-23,1946-12-29
None,Lazio,ITA,1,1712.84985352,1946-12-30,1947-01-05
None,Lazio,ITA,1,1708.91845703,1947-01-06,1947-01-12
None,Lazio,ITA,1,1715.76501465,1947-01-13,1947-01-19
None,Lazio,ITA,1,1717.45153809,1947-01-20,1947-01-26
None,Lazio,ITA,1,1724.58129883,1947-01-27,1947-02-02
None,Lazio,ITA,1,1716.43493652,1947-02-03,1947-02-16
None,Lazio,ITA,1,1706.82873535,1947-02-17,1947-02-23
None,Lazio,ITA,1,1701.11132812,1947-02-24,1947-03-02
None,Lazio,ITA,1,1698.06335449,1947-03-03,1947-03-09
None,Lazio,ITA,1,1694.64562988,1947-03-10,1947-03-16
None,Lazio,ITA,1,1686.46337891,1947-03-17,1947-03-23
None,Lazio,ITA,1,1676.63513184,1947-03-24,1947-03-30
None,Lazio,ITA,1,1686.90771484,1947-03-31,1947-04-06
None,Lazio,ITA,1,1691.18554688,1947-04-07,1947-04-13
None,Lazio,ITA,1,1699.09716797,1947-04-14,1947-04-20
None,Lazio,ITA,1,1702.78088379,1947-04-21,1947-04-28
None,Lazio,ITA,1,1705.78088379,1947-04-29,1947-05-04
None,Lazio,ITA,1,1702.93237305,1947-05-05,1947-05-14
None,Lazio,ITA,1,1705.93237305,1947-05-15,1947-05-18
None,Lazio,ITA,1,1713.95947266,1947-05-19,1947-05-25
None,Lazio,ITA,1,1719.44396973,1947-05-26,1947-06-01
None,Lazio,ITA,1,1716.06213379,1947-06-02,1947-06-08
None,Lazio,ITA,1,1719.48742676,1947-06-09,1947-06-15
None,Lazio,ITA,1,1729.25915527,1947-06-16,1947-06-22
None,Lazio,ITA,1,1733.4798584,1947-06-23,1947-06-29
None,Lazio,ITA,1,1728.29699707,1947-06-30,1947-07-06
None,Lazio,ITA,1,1733.90686035,1947-07-07,1947-09-14
None,Lazio,ITA,1,1725.26928711,1947-09-15,1947-09-21
None,Lazio,ITA,1,1712.55297852,1947-09-22,1947-09-28
None,Lazio,ITA,1,1719.90759277,1947-09-29,1947-10-05
None,Lazio,ITA,1,1722.41235352,1947-10-06,1947-10-12
None,Lazio,ITA,1,1725.19677734,1947-10-13,1947-10-19
