Rank,Club,Country,Level,Elo,From,To
None,Leicester,ENG,2,1365.06604004,1946-07-07,1946-09-04
None,Leicester,ENG,2,1354.58044434,1946-09-05,1946-09-07
None,Leicester,ENG,2,1369.51123047,1946-09-08,1946-09-12
None,Leicester,ENG,2,1374.50317383,1946-09-13,1946-09-14
None,Leicester,ENG,2,1358.69116211,1946-09-15,1946-09-19
None,Leicester,ENG,2,1348.77319336,1946-09-20,1946-09-21
None,Leicester,ENG,2,1342.08325195,1946-09-22,1946-09-28
None,Leicester,ENG,2,1339.73010254,1946-09-29,1946-09-29
None,Leicester,ENG,2,1356.73010254,1946-09-30,1946-10-03
None,Leicester,ENG,2,1362.73010254,1946-10-04,1946-10-05
None,Leicester,ENG,2,1373.2890625,1946-10-06,1946-10-12
None,Leicester,ENG,2,1383.38830566,1946-10-13,1946-10-19
None,Leicester,ENG,2,1388.56616211,1946-10-20,1946-10-26
None,Leicester,ENG,2,1380.09545898,1946-10-27,1946-11-02
None,Leicester,ENG,2,1388.28881836,1946-11-03,1946-11-09
None,Leicester,ENG,2,1395.96838379,1946-11-10,1946-11-16
None,Leicester,ENG,2,1424.80102539,1946-11-17,1946-11-23
None,Leicester,ENG,2,1427.65197754,1946-11-24,1946-11-30
None,Leicester,ENG,2,1429.88708496,1946-12-01,1946-12-07
None,Leicester,ENG,2,1438.83239746,1946-12-08,1946-12-14
None,Leicester,ENG,2,1425.765625,1946-12-15,1946-12-21
None,Leicester,ENG,2,1417.31408691,1946-12-22,1946-12-25
None,Leicester,ENG,2,1426.69592285,1946-12-26,1946-12-26
None,Leicester,ENG,2,1431.27441406,1946-12-27,1946-12-28
None,Leicester,ENG,2,1426.9810791,1946-12-29,1947-01-04
None,Leicester,ENG,2,1435.95788574,1947-01-05,1947-01-18
None,Leicester,ENG,2,1446.78088379,1947-01-19,1947-02-01
None,Leicester,ENG,2,1455.76831055,1947-02-02,1947-02-15
None,Leicester,ENG,2,1442.25195312,1947-02-16,1947-03-01
None,Leicester,ENG,2,1438.91259766,1947-03-02,1947-03-15
None,Leicester,ENG,2,1442.93676758,1947-03-16,1947-03-22
None,Leicester,ENG,2,1435.84973145,1947-03-23,1947-04-04
None,Leicester,ENG,2,1429.12963867,1947-04-05,1947-04-05
None,Leicester,ENG,2,1424.38391113,1947-04-06,1947-04-08
None,Leicester,ENG,2,1433.68579102,1947-04-09,1947-04-12
None,Leicester,ENG,2,1420.88757324,1947-04-13,1947-04-13
None,Leicester,ENG,2,1410.88757324,1947-04-14,1947-04-19
None,Leicester,ENG,2,1414.21044922,1947-04-20,1947-04-26
None,Leicester,ENG,2,1411.43029785,1947-04-27,1947-05-03
None,Leicester,ENG,2,1415.94873047,1947-05-04,1947-05-04
None,Leicester,ENG,2,1419.94873047,1947-05-05,1947-05-10
None,Leicester,ENG,2,1414.63964844,1947-05-11,1947-05-17
None,Leicester,ENG,2,1407.57104492,1947-05-18,1947-05-20
None,Leicester,ENG,2,1394.57104492,1947-05-21,1947-05-24
None,Leicester,ENG,2,1380.12731934,1947-05-25,1947-05-26
None,Leicester,ENG,2,1399.62329102,1947-05-27,1947-06-07
None,Leicester,ENG,2,1406.37438965,1947-06-08,1947-08-23
None,Leicester,ENG,2,1400.13903809,1947-08-24,1947-08-25
None,Leicester,ENG,2,1403.57800293,1947-08-26,1947-08-30
None,Leicester,ENG,2,1388.10131836,1947-08-31,1947-09-03
None,Leicester,ENG,2,1388.64233398,1947-09-04,1947-09-06
None,Leicester,ENG,2,1400.32653809,1947-09-07,1947-09-08
None,Leicester,ENG,2,1405.86047363,1947-09-09,1947-09-13
None,Leicester,ENG,2,1404.08691406,1947-09-14,1947-09-17
None,Leicester,ENG,2,1399.03149414,1947-09-18,1947-09-20
None,Leicester,ENG,2,1395.87194824,1947-09-21,1947-09-27
None,Leicester,ENG,2,1398.73583984,1947-09-28,1947-10-04
None,Leicester,ENG,2,1391.98864746,1947-10-05,1947-10-11
