Rank,Club,Country,Level,Elo,From,To
None,Levante,ESP,1,1612.67102051,1963-07-03,1963-09-15
None,Levante,ESP,1,1617.85717773,1963-09-16,1963-09-22
None,Levante,ESP,1,1606.48522949,1963-09-23,1963-09-24
None,Levante,ESP,1,1606.81396484,1963-09-25,1963-09-25
None,Levante,ESP,1,1610.17431641,1963-09-26,1963-09-28
None,Levante,ESP,1,1607.34802246,1963-09-29,1963-10-06
None,Levante,ESP,1,1611.98950195,1963-10-07,1963-10-09
None,Levante,ESP,1,1615.9395752,1963-10-10,1963-10-13
None,Levante,ESP,1,1612.68127441,1963-10-14,1963-10-15
None,Levante,ESP,1,1612.79455566,1963-10-16,1963-10-20
None,Levante,ESP,1,1619.38256836,1963-10-21,1963-11-03
None,Levante,ESP,1,1626.98730469,1963-11-04,1963-11-10
None,Levante,ESP,1,1619.35949707,1963-11-11,1963-11-13
None,Levante,ESP,1,1619.4498291,1963-11-14,1963-11-17
None,Levante,ESP,1,1616.15014648,1963-11-18,1963-11-18
None,Levante,ESP,1,1616.20666504,1963-11-19,1963-11-20
None,Levante,ESP,1,1610.66052246,1963-11-21,1963-11-24
93,Levante,ESP,1,1614.12280273,1963-11-25,1963-11-27
94,Levante,ESP,1,1614.12280273,1963-11-28,1963-11-30
96,Levante,ESP,1,1614.12280273,1963-12-01,1963-12-01
94,Levante,ESP,1,1614.12280273,1963-12-02,1963-12-04
96,Levante,ESP,1,1614.12280273,1963-12-05,1963-12-07
99,Levante,ESP,1,1614.12280273,1963-12-08,1963-12-08
88,Levante,ESP,1,1621.69824219,1963-12-09,1963-12-11
80,Levante,ESP,1,1627.23278809,1963-12-12,1963-12-14
81,Levante,ESP,1,1627.23278809,1963-12-15,1963-12-15
74,Levante,ESP,1,1634.28771973,1963-12-16,1963-12-18
85,Levante,ESP,1,1623.37609863,1963-12-19,1963-12-21
86,Levante,ESP,1,1623.37609863,1963-12-22,1963-12-22
100,Levante,ESP,1,1612.98706055,1963-12-23,1963-12-29
None,Levante,ESP,1,1612.19641113,1963-12-30,1964-01-05
98,Levante,ESP,1,1615.64868164,1964-01-06,1964-01-08
97,Levante,ESP,1,1615.64868164,1964-01-09,1964-01-12
94,Levante,ESP,1,1619.81091309,1964-01-13,1964-01-19
98,Levante,ESP,1,1616.18408203,1964-01-20,1964-01-26
94,Levante,ESP,1,1620.67895508,1964-01-27,1964-01-29
88,Levante,ESP,1,1625.07885742,1964-01-30,1964-02-02
83,Levante,ESP,1,1629.94921875,1964-02-03,1964-02-09
76,Levante,ESP,1,1635.76635742,1964-02-10,1964-02-13
76,Levante,ESP,1,1635.5,1964-02-14,1964-02-15
75,Levante,ESP,1,1635.5,1964-02-16,1964-02-16
79,Levante,ESP,1,1632.10888672,1964-02-17,1964-02-23
81,Levante,ESP,1,1629.70983887,1964-02-24,1964-02-26
83,Levante,ESP,1,1629.70983887,1964-02-27,1964-02-27
84,Levante,ESP,1,1629.70983887,1964-02-28,1964-02-28
85,Levante,ESP,1,1629.70983887,1964-02-29,1964-02-29
84,Levante,ESP,1,1629.70983887,1964-03-01,1964-03-01
84,Levante,ESP,1,1627.35131836,1964-03-02,1964-03-02
85,Levante,ESP,1,1627.35131836,1964-03-03,1964-03-04
84,Levante,ESP,1,1627.35131836,1964-03-05,1964-03-06
83,Levante,ESP,1,1627.35131836,1964-03-07,1964-03-08
