Rank,Club,Country,Level,Elo,From,To
None,Torino,ITA,1,1722.61303711,1946-07-07,1946-09-22
None,Torino,ITA,1,1719.81176758,1946-09-23,1946-09-29
None,Torino,ITA,1,1730.57958984,1946-09-30,1946-10-06
None,Torino,ITA,1,1727.58935547,1946-10-07,1946-10-13
None,Torino,ITA,1,1721.79907227,1946-10-14,1946-10-20
None,Torino,ITA,1,1719.88549805,1946-10-21,1946-10-27
None,Torino,ITA,1,1735.89367676,1946-10-28,1946-11-03
None,Torino,ITA,1,1749.86291504,1946-11-04,1946-11-10
None,Torino,ITA,1,1761.86779785,1946-11-11,1946-11-12
None,Torino,ITA,1,1769.51525879,1946-11-13,1946-11-24
None,Torino,ITA,1,1785.60644531,1946-11-25,1946-12-07
None,Torino,ITA,1,1787.60644531,1946-12-08,1946-12-08
None,Torino,ITA,1,1791.69616699,1946-12-09,1946-12-15
None,Torino,ITA,1,1792.38256836,1946-12-16,1946-12-22
None,Torino,ITA,1,1800.54589844,1946-12-23,1946-12-29
None,Torino,ITA,1,1813.64709473,1946-12-30,1947-01-05
None,Torino,ITA,1,1821.77111816,1947-01-06,1947-01-12
None,Torino,ITA,1,1825.22180176,1947-01-13,1947-01-19
None,Torino,ITA,1,1813.35986328,1947-01-20,1947-01-26
None,Torino,ITA,1,1822.49108887,1947-01-27,1947-02-02
None,Torino,ITA,1,1818.94274902,1947-02-03,1947-02-16
None,Torino,ITA,1,1825.48022461,1947-02-17,1947-02-23
None,Torino,ITA,1,1831.19763184,1947-02-24,1947-03-02
None,Torino,ITA,1,1820.12316895,1947-03-03,1947-03-09
None,Torino,ITA,1,1823.81079102,1947-03-10,1947-03-16
None,Torino,ITA,1,1833.37719727,1947-03-17,1947-03-23
None,Torino,ITA,1,1838.50646973,1947-03-24,1947-03-30
None,Torino,ITA,1,1843.3651123,1947-03-31,1947-04-06
None,Torino,ITA,1,1842.94067383,1947-04-07,1947-04-13
None,Torino,ITA,1,1849.46057129,1947-04-14,1947-04-20
None,Torino,ITA,1,1856.22375488,1947-04-21,1947-04-28
None,Torino,ITA,1,1859.22375488,1947-04-29,1947-05-04
None,Torino,ITA,1,1868.63635254,1947-05-05,1947-05-14
None,Torino,ITA,1,1871.63635254,1947-05-15,1947-05-18
None,Torino,ITA,1,1874.1529541,1947-05-19,1947-05-25
None,Torino,ITA,1,1885.97875977,1947-05-26,1947-06-01
None,Torino,ITA,1,1889.3861084,1947-06-02,1947-06-08
None,Torino,ITA,1,1894.77709961,1947-06-09,1947-06-15
None,Torino,ITA,1,1892.76586914,1947-06-16,1947-06-22
None,Torino,ITA,1,1896.44116211,1947-06-23,1947-06-29
None,Torino,ITA,1,1902.90991211,1947-06-30,1947-07-06
None,Torino,ITA,1,1914.78686523,1947-07-07,1947-09-14
None,Torino,ITA,1,1918.09643555,1947-09-15,1947-09-21
None,Torino,ITA,1,1906.98925781,1947-09-22,1947-09-28
None,Torino,ITA,1,1909.04418945,1947-09-29,1947-10-05
None,Torino,ITA,1,1921.7722168,1947-10-06,1947-10-12
None,Torino,ITA,1,1924.39196777,1947-10-13,1947-10-19
None,Torino,ITA,1,1928.85217285,1947-10-20,1947-10-26
None,Torino,ITA,1,1923.38598633,1947-10-27,1947-11-02
None,Torino,ITA,1,1913.64074707,1947-11-03,1947-11-15
None,Torino,ITA,1,1884.64074707,1947-11-16,1947-11-16
None,Torino,ITA,1,1886.765625,1947-11-17,1947-11-23
None,Torino,ITA,1,1891.62927246,1947-11-24,1947-11-30
None,Torino,ITA,1,1889.3536377,1947-12-01,1947-12-07
None,Torino,ITA,1,1894.51647949,1947-12-08,1947-12-18
None,Torino,ITA,1,1898.51647949,1947-12-19,1947-12-21
None,Torino,ITA,1,1887.93054199,1947-12-22,1947-12-28
None,Torino,ITA,1,1890.55151367,1947-12-29,1948-01-01
None,Torino,ITA,1,1893.82421875,1948-01-02,1948-01-04
None,Torino,ITA,1,1891.51818848,1948-01-05,1948-01-11
None,Torino,ITA,1,1899.44152832,1948-01-12,1948-01-18
None,Torino,ITA,1,1900.83288574,1948-01-19,1948-01-25
None,Torino,ITA,1,1894.58105469,1948-01-26,1948-02-01
None,Torino,ITA,1,1907.87084961,1948-02-02,1948-02-15
None,Torino,ITA,1,1903.88195801,1948-02-16,1948-02-22
None,Torino,ITA,1,1906.10949707,1948-02-23,1948-02-29
None,Torino,ITA,1,1900.87683105,1948-03-01,1948-03-07
None,Torino,ITA,1,1902.87158203,1948-03-08,1948-03-14
None,Torino,ITA,1,1912.21313477,1948-03-15,1948-03-21
None,Torino,ITA,1,1913.61804199,1948-03-22,1948-03-28
None,Torino,ITA,1,1913.95385742,1948-03-29,1948-04-05
None,Torino,ITA,1,1919.95385742,1948-04-06,1948-04-11
None,Torino,ITA,1,1923.45397949,1948-04-12,1948-04-17
None,Torino,ITA,1,1929.72106934,1948-04-18,1948-04-25
