Rank,Club,Country,Level,Elo,From,To
None,Villarreal,ESP,2,1377.98486328,1970-07-01,1970-09-05
None,Villarreal,ESP,2,1389.98242188,1970-09-06,1970-09-13
None,Villarreal,ESP,2,1390.51538086,1970-09-14,1970-09-16
None,Villarreal,ESP,2,1392.37475586,1970-09-17,1970-09-20
None,Villarreal,ESP,2,1387.49084473,1970-09-21,1970-09-27
None,Villarreal,ESP,2,1375.65319824,1970-09-28,1970-09-30
None,Villarreal,ESP,2,1377.95373535,1970-10-01,1970-10-04
None,Villarreal,ESP,2,1382.8371582,1970-10-05,1970-10-11
None,Villarreal,ESP,2,1388.7052002,1970-10-12,1970-10-18
None,Villarreal,ESP,2,1392.96704102,1970-10-19,1970-10-21
None,Villarreal,ESP,2,1382.6796875,1970-10-22,1970-10-25
None,Villarreal,ESP,2,1391.98840332,1970-10-26,1970-11-01
None,Villarreal,ESP,2,1386.92333984,1970-11-02,1970-11-04
None,Villarreal,ESP,2,1399.05578613,1970-11-05,1970-11-05
None,Villarreal,ESP,2,1414.30749512,1970-11-06,1970-11-08
None,Villarreal,ESP,2,1409.27563477,1970-11-09,1970-11-15
None,Villarreal,ESP,2,1405.86499023,1970-11-16,1970-11-22
None,Villarreal,ESP,2,1411.5612793,1970-11-23,1970-11-29
None,Villarreal,ESP,2,1409.01623535,1970-11-30,1970-12-06
None,Villarreal,ESP,2,1415.06665039,1970-12-07,1970-12-13
None,Villarreal,ESP,2,1419.78942871,1970-12-14,1970-12-20
None,Villarreal,ESP,2,1416.40734863,1970-12-21,1970-12-27
None,Villarreal,ESP,2,1403.6060791,1970-12-28,1971-01-10
None,Villarreal,ESP,2,1400.0489502,1971-01-11,1971-01-17
None,Villarreal,ESP,2,1404.81164551,1971-01-18,1971-01-24
None,Villarreal,ESP,2,1402.20324707,1971-01-25,1971-01-27
None,Villarreal,ESP,2,1394.33581543,1971-01-28,1971-01-31
None,Villarreal,ESP,2,1397.60119629,1971-02-01,1971-02-07
None,Villarreal,ESP,2,1393.83154297,1971-02-08,1971-02-14
None,Villarreal,ESP,2,1377.01928711,1971-02-15,1971-02-21
None,Villarreal,ESP,2,1373.4354248,1971-02-22,1971-02-28
None,Villarreal,ESP,2,1368.77478027,1971-03-01,1971-03-07
None,Villarreal,ESP,2,1365.50512695,1971-03-08,1971-03-10
None,Villarreal,ESP,2,1363.63342285,1971-03-11,1971-03-14
None,Villarreal,ESP,2,1351.20605469,1971-03-15,1971-03-21
None,Villarreal,ESP,2,1347.11254883,1971-03-22,1971-03-24
None,Villarreal,ESP,2,1356.7310791,1971-03-25,1971-03-28
None,Villarreal,ESP,2,1367.1986084,1971-03-29,1971-04-04
