PlayerUrl,PlayerName,Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Summery-Performance-Gls,Summery-Performance-Ast,Summery-Performance-PK,Summery-Performance-PKatt,Summery-Performance-Sh,Summery-Performance-SoT,Summery-Performance-CrdY,Summery-Performance-CrdR,Summery-Performance-Touches,Summery-Performance-Press,Summery-Performance-Tkl,Summery-Performance-Int,Summery-Performance-Blocks,Summery-Expected-xG,Summery-Expected-npxG,Summery-Expected-xA,Summery-SCA-SCA,Summery-SCA-GCA,Summery-Passes-Cmp,Summery-Passes-Att,Summery-Passes-Cmp%,Summery-Passes-Prog,Summery-Carries-Carries,Summery-Carries-Prog,Summery-Dribbles-Succ,Summery-Dribbles-Att,Passing-Total-Cmp,Passing-Total-Att,Passing-Total-Cmp%,Passing-Total-TotDist,Passing-Total-PrgDist,Passing-Short-Cmp,Passing-Short-Att,Passing-Short-Cmp%,Passing-Medium-Cmp,Passing-Medium-Att,Passing-Medium-Cmp%,Passing-Long-Cmp,Passing-Long-Att,Passing-Long-Cmp%,Passing-Ast,Passing-xA,Passing-KP,Passing-1/3,Passing-PPA,Passing-CrsPA,Passing-Prog,PassingTypes-PassAttempted,PassingTypes-PassTypes-Live,PassingTypes-PassTypes-Dead,PassingTypes-PassTypes-FK,PassingTypes-PassTypes-TB,PassingTypes-PassTypes-Press,PassingTypes-PassTypes-Sw,PassingTypes-PassTypes-Crs,PassingTypes-PassTypes-CK,PassingTypes-CornerKicks-In,PassingTypes-CornerKicks-Out,PassingTypes-CornerKicks-Str,PassingTypes-Height-Ground,PassingTypes-Height-Low,PassingTypes-Height-High,PassingTypes-BodyParts-Left,PassingTypes-BodyParts-Right,PassingTypes-BodyParts-Head,PassingTypes-BodyParts-TI,PassingTypes-BodyParts-Other,PassingTypes-Outcomes-Cmp,PassingTypes-Outcomes-Off,PassingTypes-Outcomes-Out,PassingTypes-Outcomes-Int,PassingTypes-Outcomes-Blocks,GCA-SCATypes-SCA,GCA-SCATypes-PassLive,GCA-SCATypes-PassDead,GCA-SCATypes-Drib,GCA-SCATypes-Sh,GCA-SCATypes-Fld,GCA-SCATypes-Def,GCA-GCATypes-GCA,GCA-GCATypes-PassLive,GCA-GCATypes-PassDead,GCA-GCATypes-Drib,GCA-GCATypes-Sh,GCA-GCATypes-Fld,GCA-GCATypes-Def,Defence-Tackles-Tkl,Defence-Tackles-TklW,Defence-Tackles-Def-3rd,Defence-Tackles-Mid-3rd,Defence-Tackles-Att-3rd,Defence-VsDribbles-Tkl,Defence-VsDribbles-Att,Defence-VsDribbles-Tkl%,Defence-VsDribbles-Past,Defence-Pressures-Press,Defence-Pressures-Succ,Defence-Pressures-%,Defence-Pressures-Def-3rd,Defence-Pressures-Mid-3rd,Defence-Pressures-Att-3rd,Defence-Blocks-Blocks,Defence-Blocks-Sh,Defence-Blocks-ShSv,Defence-Blocks-Pass,Defence-Int,Defence-Tkl+Int,Defence-Clr,Defence-Err,Possession-Touches-Touches,Possession-Touches-Def-Pen,Possession-Touches-Def-3rd,Possession-Touches-Mid-3rd,Possession-Touches-Att-3rd,Possession-Touches-Att-Pen,Possession-Touches-Live,Possession-Dribbles-Succ,Possession-Dribbles-Att,Possession-Dribbles-Succ%,Possession-Dribbles-#Pl,Possession-Dribbles-Megs,Possession-Carries-Carries,Possession-Carries-TotDist,Possession-Carries-PrgDist,Possession-Carries-Prog,Possession-Carries-1/3,Possession-Carries-CPA,Possession-Carries-Mis,Possession-Carries-Dis,Possession-Receiving-Targ,Possession-Receiving-Rec,Possession-Receiving-Rec%,Possession-Receiving-Prog,Misc-Performance-CrdY,Misc-Performance-CrdR,Misc-Performance-2CrdY,Misc-Performance-Fls,Misc-Performance-Fld,Misc-Performance-Off,Misc-Performance-Crs,Misc-Performance-Int,Misc-Performance-TklW,Misc-Performance-PKwon,Misc-Performance-PKcon,Misc-Performance-OG,Misc-Performance-Recov,Misc-AerialDuels-Won,Misc-AerialDuels-Lost,Misc-AerialDuels-Won%
https://fbref.com/en/players/132a82f1,Wesley Fofana,2018-2019,2019-05-18,Sat,Ligue 1,Matchweek 37,Home,W 3–0,Saint-Étienne,Nice,N,RB,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,15.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,23.0,73.9,1.0,13.0,1.0,0.0,0.0,17.0,23.0,73.9,356.0,245.0,6.0,6.0,100.0,7.0,12.0,58.3,4.0,5.0,80.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,23.0,13.0,10.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,3.0,9.0,1.0,15.0,0.0,7.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,6.0,2.0,0.0,4.0,8.0,50.0,4.0,15.0,3.0,20.0,12.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,9.0,4.0,0.0,39.0,6.0,21.0,18.0,1.0,0.0,29.0,0.0,0.0,,0.0,0.0,13.0,57.0,27.0,1.0,0.0,0.0,1.0,0.0,12.0,10.0,83.3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,2.0,0.0,100.0
https://fbref.com/en/players/132a82f1,Wesley Fofana,2018-2019,2019-05-24,Fri,Ligue 1,Matchweek 38,Away,D 1–1,Saint-Étienne,Angers,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,57.0,93.0,1.0,54.0,1.0,1.0,1.0,53.0,57.0,93.0,888.0,367.0,27.0,27.0,100.0,19.0,19.0,100.0,6.0,9.0,66.7,0.0,0.0,0.0,2.0,0.0,0.0,1.0,57.0,56.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,2.0,4.0,0.0,57.0,0.0,0.0,0.0,53.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,3.0,7.0,42.9,4.0,11.0,5.0,45.5,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,73.0,8.0,37.0,39.0,2.0,0.0,72.0,1.0,1.0,100.0,1.0,0.0,54.0,163.0,61.0,1.0,0.0,0.0,0.0,0.0,48.0,48.0,100.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,2.0,2.0,50.0
https://fbref.com/en/players/132a82f1,Wesley Fofana,2019-2020,2019-10-20,Sun,Ligue 1,Matchweek 10,Away,W 1–0,Saint-Étienne,Bordeaux,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,52.0,20.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,32.0,84.4,0.0,24.0,2.0,0.0,0.0,27.0,32.0,84.4,556.0,209.0,9.0,11.0,81.8,11.0,12.0,91.7,6.0,7.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,31.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,6.0,1.0,28.0,2.0,0.0,0.0,27.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,100.0,0.0,20.0,5.0,25.0,8.0,12.0,0.0,2.0,1.0,0.0,1.0,3.0,7.0,12.0,0.0,52.0,6.0,31.0,23.0,0.0,0.0,51.0,0.0,0.0,,0.0,0.0,24.0,218.0,43.0,2.0,0.0,0.0,0.0,0.0,17.0,15.0,88.2,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,16.0,3.0,4.0,42.9
https://fbref.com/en/players/132a82f1,Wesley Fofana,2019-2020,2019-10-27,Sun,Ligue 1,Matchweek 11,Home,D 2–2,Saint-Étienne,Amiens,Y,CB,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,53.0,12.0,2.0,4.0,1.0,0.1,0.1,0.0,0.0,0.0,30.0,39.0,76.9,1.0,26.0,1.0,0.0,0.0,30.0,39.0,76.9,632.0,201.0,9.0,10.0,90.0,17.0,20.0,85.0,4.0,7.0,57.1,0.0,0.0,0.0,2.0,0.0,0.0,1.0,39.0,36.0,3.0,2.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,9.0,2.0,30.0,0.0,1.0,0.0,30.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,12.0,8.0,66.7,2.0,8.0,2.0,1.0,1.0,0.0,0.0,4.0,6.0,8.0,0.0,53.0,9.0,22.0,28.0,5.0,2.0,50.0,0.0,0.0,,0.0,0.0,26.0,194.0,97.0,1.0,0.0,0.0,0.0,0.0,25.0,25.0,100.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,10.0,11.0,1.0,91.7
https://fbref.com/en/players/132a82f1,Wesley Fofana,2019-2020,2019-11-03,Sun,Ligue 1,Matchweek 12,Home,W 1–0,Saint-Étienne,Monaco,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,23.0,95.7,0.0,13.0,0.0,0.0,0.0,22.0,23.0,95.7,430.0,125.0,6.0,6.0,100.0,13.0,13.0,100.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,22.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,2.0,5.0,16.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,1.0,3.0,33.3,2.0,10.0,3.0,30.0,4.0,6.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,5.0,0.0,35.0,3.0,26.0,13.0,0.0,0.0,34.0,0.0,0.0,,0.0,0.0,13.0,104.0,65.0,0.0,0.0,0.0,0.0,1.0,16.0,15.0,93.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,5.0,0.0,100.0
https://fbref.com/en/players/132a82f1,Wesley Fofana,2019-2020,2019-11-07,Thu,Europa Lg,Group stage,Away,D 2–2,fr Saint-Étienne,ua FC Oleksandriya,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,57.0,17.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,34.0,79.4,1.0,25.0,2.0,0.0,0.0,27.0,34.0,79.4,614.0,136.0,5.0,6.0,83.3,17.0,20.0,85.0,5.0,7.0,71.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,33.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,2.0,6.0,2.0,28.0,4.0,0.0,0.0,27.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,,0.0,17.0,5.0,29.4,15.0,2.0,0.0,1.0,0.0,0.0,1.0,5.0,8.0,12.0,0.0,57.0,6.0,33.0,25.0,0.0,0.0,56.0,0.0,0.0,,0.0,0.0,25.0,123.0,35.0,2.0,0.0,0.0,0.0,0.0,28.0,27.0,96.4,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,6.0,1.0,85.7
https://fbref.com/en/players/132a82f1,Wesley Fofana,2019-2020,2019-11-28,Thu,Europa Lg,Group stage,Home,D 0–0,fr Saint-Étienne,be Gent,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,37.0,42.0,88.1,6.0,36.0,6.0,0.0,0.0,37.0,42.0,88.1,746.0,227.0,14.0,15.0,93.3,17.0,17.0,100.0,5.0,7.0,71.4,0.0,0.0,0.0,2.0,0.0,0.0,6.0,42.0,40.0,2.0,2.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,7.0,7.0,7.0,32.0,2.0,0.0,0.0,37.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,7.0,3.0,42.9,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,51.0,1.0,22.0,29.0,3.0,0.0,49.0,0.0,0.0,,0.0,0.0,36.0,307.0,157.0,6.0,1.0,0.0,1.0,1.0,29.0,29.0,100.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,14.0,3.0,3.0,50.0
https://fbref.com/en/players/132a82f1,Wesley Fofana,2019-2020,2019-12-01,Sun,Ligue 1,Matchweek 15,Away,L 1–2,Saint-Étienne,Rennes,N,CB,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,75.0,3.0,11.0,1.0,0.0,0.0,15.0,20.0,75.0,283.0,71.0,3.0,3.0,100.0,9.0,12.0,75.0,2.0,3.0,66.7,0.0,0.0,0.0,2.0,0.0,0.0,3.0,20.0,19.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,7.0,1.0,13.0,2.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,8.0,1.0,12.5,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,27.0,3.0,13.0,15.0,0.0,0.0,26.0,0.0,0.0,,0.0,0.0,11.0,92.0,56.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,4.0,0.0,100.0
https://fbref.com/en/players/132a82f1,Wesley Fofana,2019-2020,2019-12-04,Wed,Ligue 1,Matchweek 16,Home,W 4–1,Saint-Étienne,Nice,Y,CB,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,68.0,11.0,3.0,0.0,5.0,0.4,0.4,0.0,0.0,0.0,47.0,54.0,87.0,1.0,40.0,0.0,1.0,1.0,47.0,54.0,87.0,1048.0,183.0,8.0,9.0,88.9,32.0,34.0,94.1,6.0,10.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0,53.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,3.0,6.0,6.0,47.0,1.0,0.0,0.0,47.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,,0.0,11.0,7.0,63.6,8.0,3.0,0.0,5.0,1.0,0.0,4.0,0.0,3.0,4.0,0.0,68.0,7.0,45.0,24.0,2.0,2.0,67.0,1.0,1.0,100.0,1.0,0.0,40.0,193.0,86.0,0.0,0.0,0.0,1.0,0.0,52.0,50.0,96.2,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,2.0,2.0,50.0
https://fbref.com/en/players/132a82f1,Wesley Fofana,2019-2020,2019-12-08,Sun,Ligue 1,Matchweek 17,Away,L 1–3,Saint-Étienne,Reims,Y,CB,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,3.0,1.0,1.0,1.0,0.1,0.1,0.0,1.0,0.0,51.0,60.0,85.0,1.0,44.0,5.0,0.0,0.0,51.0,60.0,85.0,1153.0,296.0,8.0,10.0,80.0,36.0,38.0,94.7,7.0,12.0,58.3,0.0,0.0,0.0,5.0,0.0,0.0,1.0,60.0,56.0,4.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,8.0,12.0,7.0,46.0,3.0,1.0,0.0,51.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,3.0,2.0,66.7,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,1.0,68.0,4.0,51.0,18.0,2.0,1.0,64.0,0.0,0.0,,0.0,0.0,44.0,358.0,198.0,5.0,1.0,0.0,0.0,1.0,44.0,42.0,95.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,15.0,4.0,3.0,57.1
